center_x (mm)	Maxwell downward surface stress tensor, x component (N), forceX_down	Maxwell upward surface stress tensor, x component (N), forceX_up
2.8500	5.7849E-17	1.3601E-12
2.9000	1.0595E-16	1.4241E-12
2.9500	1.3688E-16	1.4770E-12
3.0000	1.2963E-16	1.5038E-12
3.0500	1.2882E-16	1.5598E-12
3.1000	1.4388E-16	1.5943E-12
3.1500	1.3658E-16	1.6328E-12
3.2000	1.0361E-16	1.6473E-12
3.2500	1.2177E-16	1.7011E-12
3.3000	1.2653E-16	1.7111E-12
3.3500	9.5142E-17	1.7444E-12
3.4000	8.1435E-17	1.7691E-12
3.4500	1.2938E-16	1.7931E-12
3.5000	8.7066E-17	1.7928E-12
3.5500	1.1414E-16	1.8176E-12
3.6000	1.8409E-16	1.8448E-12
3.6500	1.4342E-16	1.8507E-12
3.7000	1.1325E-16	1.8558E-12
3.7500	8.4606E-17	1.8533E-12
3.8000	1.3966E-16	1.8627E-12
3.8500	1.2263E-16	1.8712E-12
3.9000	8.6377E-17	1.8492E-12
3.9500	9.7854E-17	1.8703E-12
4.0000	1.3620E-16	1.8691E-12
4.0500	8.2437E-17	1.8629E-12
4.1000	1.3919E-16	1.8507E-12
4.1500	1.4145E-16	1.8559E-12
4.2000	1.1975E-16	1.8420E-12
4.2500	1.1476E-16	1.8362E-12
4.3000	1.5804E-16	1.8164E-12
4.3500	9.9575E-17	1.8156E-12
4.4000	8.7008E-17	1.7978E-12
4.4500	1.1982E-16	1.7850E-12
4.5000	1.1833E-16	1.7749E-12
4.5500	8.7260E-17	1.7471E-12
4.6000	1.3313E-16	1.7240E-12
4.6500	8.2094E-17	1.7093E-12
4.7000	9.2396E-17	1.7116E-12
4.7500	4.9114E-17	1.7008E-12
4.8000	8.8811E-17	1.6681E-12
4.8500	4.6332E-17	1.6467E-12
4.9000	8.8936E-17	1.6244E-12
4.9500	7.3000E-17	1.6068E-12
5.0000	1.0889E-16	1.5834E-12
5.0500	5.9662E-17	1.5711E-12
5.1000	8.2289E-17	1.5512E-12
5.1500	5.8266E-17	1.5286E-12
5.2000	4.8244E-17	1.5040E-12
5.2500	7.3626E-17	1.4863E-12
5.3000	9.9232E-17	1.4522E-12
5.3500	8.3415E-17	1.4308E-12
5.4000	6.0891E-17	1.4239E-12
5.4500	6.3899E-17	1.3970E-12
5.5000	8.6984E-17	1.3811E-12
5.5500	6.5433E-17	1.3618E-12
5.6000	7.7707E-17	1.3369E-12
5.6500	6.9322E-17	1.3142E-12
5.7000	5.9241E-17	1.2925E-12
5.7500	4.6255E-17	1.2698E-12
5.8000	3.4721E-17	1.2428E-12
5.8500	5.0937E-17	1.2293E-12
5.9000	5.6603E-17	1.2062E-12
5.9500	5.8164E-17	1.1860E-12
6.0000	5.8165E-17	1.1562E-12
6.0500	3.4328E-17	1.1395E-12
6.1000	4.7952E-17	1.1277E-12
6.1500	3.9939E-17	1.1075E-12
6.2000	7.3184E-17	1.0899E-12
6.2500	3.5942E-17	1.0723E-12
6.3000	6.8761E-17	1.0398E-12
6.3500	2.3220E-17	1.0353E-12
6.4000	2.5344E-17	1.0187E-12
6.4500	3.7845E-17	9.9555E-13
6.5000	3.2431E-17	9.7744E-13
6.5500	4.7736E-17	9.5804E-13
6.6000	2.7974E-17	9.4064E-13
6.6500	3.3289E-17	9.2702E-13
6.7000	4.1654E-17	9.0808E-13
6.7500	3.2024E-17	8.9469E-13
6.8000	3.3743E-17	8.7200E-13
