Time (s)	drop_volume (m^3)	contact_angle (rad)	sqrt(sigma*pw1(t)/((1000 [kg/m^3])*(g_const))) (mm)	r-coordinate (mm), rmax	z-coordinate (mm), zmax
148.06	5.2360E-10	3.1398	0.56277	0.55722	0.75995
148.07	5.2360E-10	3.1398	0.56277	0.55722	0.75995
148.09	5.2360E-10	3.1398	0.56277	0.55722	0.75995
148.10	5.2360E-10	3.1398	0.56277	0.55722	0.75995
148.12	5.2360E-10	3.1398	0.56277	0.55722	0.75995
148.13	5.2360E-10	3.1398	0.56278	0.55722	0.75995
148.16	5.2360E-10	3.1398	0.56279	0.55722	0.75996
148.19	5.2360E-10	3.1398	0.56280	0.55722	0.75996
148.22	5.2360E-10	3.1398	0.56281	0.55722	0.75996
148.25	5.2360E-10	3.1398	0.56284	0.55722	0.75997
148.29	5.2360E-10	3.1398	0.56288	0.55721	0.75998
148.34	5.2360E-10	3.1398	0.56295	0.55721	0.76001
148.39	5.2360E-10	3.1398	0.56303	0.55720	0.76004
148.45	5.2360E-10	3.1398	0.56318	0.55718	0.76009
148.52	5.2360E-10	3.1398	0.56337	0.55716	0.76016
148.60	5.2360E-10	3.1398	0.56368	0.55712	0.76028
148.69	5.2360E-10	3.1398	0.56407	0.55707	0.76044
148.77	5.2360E-10	3.1398	0.56454	0.55701	0.76063
148.85	5.2360E-10	3.1398	0.56509	0.55693	0.76086
148.94	5.2360E-10	3.1398	0.56573	0.55684	0.76113
148.98	5.2360E-10	3.1398	0.56614	0.55679	0.76131
149.03	5.2360E-10	3.1398	0.56657	0.55673	0.76149
149.08	5.2360E-10	3.1398	0.56702	0.55667	0.76169
149.18	5.2360E-10	3.1398	0.56801	0.55653	0.76212
149.25	5.2360E-10	3.1398	0.56883	0.55641	0.76248
149.32	5.2360E-10	3.1398	0.56971	0.55629	0.76287
149.39	5.2360E-10	3.1398	0.57058	0.55616	0.76325
149.46	5.2360E-10	3.1398	0.57149	0.55603	0.76365
149.53	5.2360E-10	3.1398	0.57243	0.55590	0.76407
149.67	5.2360E-10	3.1398	0.57441	0.55562	0.76494
