% Model:              first_sketch_v06__sigmasweep_adaptivemesh_179.9CA.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 31 2021, 19:02
% Dimension:          2
% Nodes:              319
% Expressions:        6
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=7                r (mm) @ t=7             z (mm) @ t=7             dom @ t=17               r (mm) @ t=17            z (mm) @ t=17
0                         0                        1                        0                        0                        1                        0                        0
0                         0.026892084919553406     1                        0                        0.026892084919553406     1                        0                        0.03611451356328872
0                         0.05127037189774719      1                        0                        0.05127037189774719      1                        0                        0.06885601369556889
0                         0.07340897714304788      1                        0                        0.07340897714304788      1                        0                        0.0985939831457649
0                         0.09351366260008025      1                        0                        0.09351366260008025      1                        0                        0.12560503899173392
0                         0.11177128689075357      1                        0                        0.11177128689075357      1                        0                        0.15013978258688687
0                         0.12835154295201853      1                        0                        0.12835154295201853      1                        0                        0.1724254358627401
0                         0.1434085337009047       1                        0                        0.1434085337009047       1                        0                        0.19266816366490297
0                         0.1570822055229032       1                        0                        0.1570822055229032       1                        0                        0.21105511919117173
0                         0.1694996468583974       1                        0                        0.1694996468583974       1                        0                        0.2277562553711933
0                         0.18077627081911807      1                        0                        0.18077627081911807      1                        0                        0.24292594418161262
0                         0.1910168871968236       1                        0                        0.1910168871968236       1                        0                        0.2567044249482124
0                         0.20031667656439528      1                        0                        0.20031667656439528      1                        0                        0.2692191100908582
0                         0.2089019898230896       1                        0                        0.2089019898230896       1                        0                        0.28077408623883526
0.028391684918134652      0                        2                        0.028391684918134652     0                        2                        0.026347508922628736     0
0                         0                        2                        0                        0                        2                        0                        0
0.05787725768600499       0                        2                        0.05787725768600499      0                        2                        0.05370484078814545      0
0.08784546429684831       0                        2                        0.08784546429684831      0                        2                        0.08149903114476117      0
0.11683094085061191       0                        2                        0.11683094085061191      0                        2                        0.10836566503486998      0
0.14571722639185358       0                        2                        0.14571722639185358      0                        2                        0.13511893560979002      0
0.1746019373400512        0                        2                        0.1746019373400512       0                        2                        0.16184344313245153      0
0.20348465663280355       0                        2                        0.20348465663280355      0                        2                        0.18853237492315367      0
0.23236471903977024       0                        2                        0.23236471903977024      0                        2                        0.21517830461291948      0
0.2612412222625525        0                        2                        0.2612412222625525       0                        2                        0.24177287971584133      0
0.2901133909369805        0                        2                        0.2901133909369805       0                        2                        0.2683071279796351       0
0.3189793962559908        0                        2                        0.3189793962559908       0                        2                        0.2947702068623011       0
0.34783825974003063       0                        2                        0.34783825974003063      0                        2                        0.32115115323674376      0
0.3766869135205763        0                        2                        0.3766869135205763       0                        2                        0.3474359932803606       0
0.40552349076193167       0                        2                        0.40552349076193167      0                        2                        0.37361021605411493      0
0.43434333731171565       0                        2                        0.43434333731171565      0                        2                        0.3996556837768081       0
0.46314281439643207       0                        2                        0.46314281439643207      0                        2                        0.42555343778549337      0
0.49191391372878585       0                        2                        0.49191391372878585      0                        2                        0.45127880137698895      0
0.5206506652143762        0                        2                        0.5206506652143762       0                        2                        0.47680691734905867      0
0.5493397749850261        0                        2                        0.5493397749850261       0                        2                        0.5021042471938002       0
0.5779684273901988        0                        2                        0.5779684273901988       0                        2                        0.5271356266348383       0
0.606517955975155         0                        2                        0.606517955975155        0                        2                        0.5518577619344162       0
0.6349467520038883        0                        2                        0.6349467520038883       0                        2                        0.5762050442834552       0
0.6624795636976961        0                        2                        0.6624795636976961       0                        2                        0.5994940626564402       0
0.6881405538614           0                        2                        0.6881405538614          0                        2                        0.6209082479065557       0
0.7113878068151003        0                        2                        0.7113878068151003       0                        2                        0.6400343288163656       0
0.7324459955989788        0                        2                        0.7324459955989788       0                        2                        0.6571072808404044       0
0.7515211834816529        0                        2                        0.7515211834816529       0                        2                        0.6723412647954982       0
0.7687992135522576        0                        2                        0.7687992135522576       0                        2                        0.685928077968562        0
0.7844436812499692        0                        2                        0.7844436812499692       0                        2                        0.6980361956107082       0
0.7986144668290527        0                        2                        0.7986144668290527       0                        2                        0.7088255039720887       0
0.811450461997877         0                        2                        0.811450461997877        0                        2                        0.7184341546781212       0
0.8230735508127509        0                        2                        0.8230735508127509       0                        2                        0.7269825908939902       0
0.8335969786332244        0                        2                        0.8335969786332244       0                        2                        0.7345804393004222       0
0.8431285416217957        0                        2                        0.8431285416217957       0                        2                        0.7413290541988358       0
0.8517566231454697        0                        2                        0.8517566231454697       0                        2                        0.7473121242486923       0
0.8595665885284497        0                        2                        0.8595665885284497       0                        2                        0.7526079173237953       0
0.8666383286917676        0                        2                        0.8666383286917676       0                        2                        0.7572875073331082       0
0.8730323013185018        0                        2                        0.8730323013185018       0                        2                        0.7614063061059876       0
0.8788201810003896        0                        2                        0.8788201810003896       0                        2                        0.7650241063856638       0
0.8840470447152708        0                        2                        0.8840470447152708       0                        2                        0.7681811290788446       0
0.8887720062144019        0                        2                        0.8887720062144019       0                        2                        0.770923528205489        0
0.8930257071759785        0                        2                        0.8930257071759785       0                        2                        0.7732777244947832       0
0.8968513023244806        0                        2                        0.8968513023244806       0                        2                        0.7752733604146487       0
0.9002597451013761        0                        2                        0.9002597451013761       0                        2                        0.7769134959591869       0
0.9032393583683281        0                        2                        0.9032393583683281       0                        2                        0.7781717436973722       0
0.9055174287530048        0                        2                        0.9055174287530048       0                        2                        0.7789446845225645       0
0                         0.2089019898230896       3                        0                        0.2089019898230896       3                        0                        0.28077408623883526
0                         0.21770272332103097      3                        0                        0.21770272332103097      3                        0                        0.2890697811556598
0                         0.22743288012364046      3                        0                        0.22743288012364046      3                        0                        0.29823689924667685
0                         0.23819061335795702      3                        0                        0.23819061335795702      3                        0                        0.308366448247261
0                         0.25008444154982884      3                        0                        0.25008444154982884      3                        0                        0.3195588408775093
0                         0.2632343432198985       3                        0                        0.2632343432198985       3                        0                        0.33192485507417746
0                         0.2777729627538866       3                        0                        0.2777729627538866       3                        0                        0.3455866921462673
0                         0.2938469606615385       3                        0                        0.2938469606615385       3                        0                        0.3606791652877386
0                         0.3116184813063126       3                        0                        0.3116184813063126       3                        0                        0.3773509990093305
0                         0.3312667890878816       3                        0                        0.3312667890878816       3                        0                        0.3957662930628806
0                         0.35299008314349767      3                        0                        0.35299008314349767      3                        0                        0.4161061715630223
0                         0.37700749309355447      3                        0                        0.37700749309355447      3                        0                        0.4385706345774086
0                         0.4035612853612696       3                        0                        0.4035612853612696       3                        0                        0.4633806582293532
0                         0.43291931721011323      3                        0                        0.43291931721011323      3                        0                        0.4907806000018916
0                         0.4653777271558822       3                        0                        0.4653777271558822       3                        0                        0.5210409213804927
0                         0.5012639329680344       3                        0                        0.5012639329680344       3                        0                        0.5544613147299436
0                         0.5409399288851088       3                        0                        0.5409399288851088       3                        0                        0.5913742357453268
0                         0.5848059389453836       3                        0                        0.5848059389453836       3                        0                        0.6321488907123247
0                         0.6333044582101115       3                        0                        0.6333044582101115       3                        0                        0.6771956860678366
0                         0.6869247151514382       3                        0                        0.6869247151514382       3                        0                        0.726971118550389
0                         0.7462076084284932       3                        0                        0.7462076084284932       3                        0                        0.7819830858105724
0                         0.8117511645295338       3                        0                        0.8117511645295338       3                        0                        0.842796600040043
0                         0.8842165701530544       3                        0                        0.8842165701530544       3                        0                        0.9100399397432795
0                         0.9643348450069557       3                        0                        0.9643348450069557       3                        0                        0.9844113868929835
0                         1.0529142013181005       3                        0                        1.0529142013181005       3                        0                        1.0666867966335183
0                         1.14960725769601         3                        0                        1.14960725769601         3                        0                        1.1565732133594995
0                         1.25                     3                        0                        1.25                     3                        0                        1.25
0                         0.2089019898230896       4                        0                        0.2089019898230896       4                        0                        0.28077408623883526
0.00831004229310756       0.20890189647824506      4                        0.00831004229310756      0.20890189647824506      4                        0.007817522110466156     0.28077291067256577
0.016620084530951998      0.20890161594335324      4                        0.016620084530951998     0.20890161594335324      4                        0.015635054520641397     0.28076938064971135
0.02493012663187371       0.20890114678590999      4                        0.02493012663187371      0.20890114678590999      4                        0.02345260762079352      0.28076348658778894
0.033240168515157785      0.208900486600935        4                        0.033240168515157785     0.208900486600935        4                        0.03127019169375691      0.28075521244606816
0.04155021010080275       0.20889963200186287      4                        0.04155021010080275      0.20889963200186287      4                        0.039087817214057664     0.28074453568549707
0.04986025130920907       0.20889857860164585      4                        0.04986025130920907      0.20889857860164585      4                        0.0469054949417812       0.2807314272263359
0.05817029206170134       0.20889732098787256      4                        0.05817029206170134      0.20889732098787256      4                        0.054723235703057094     0.28071585135664173
0.2576109292731349        0.20876813511521516      4                        0.2576109292731349       0.20876813511521516      4                        0.24240236354213401      0.2793746821295481
0.265920929632727         0.20875566117000594      4                        0.265920929632727        0.20875566117000594      4                        0.25022630306263255      0.27926222292773917
0.2742309264730755        0.2087422204727077       4                        0.2742309264730755       0.2087422204727077       4                        0.25805072327571044      0.2791432501601301
0.2825409196080698        0.2087277395662689       4                        0.2825409196080698       0.2087277395662689       4                        0.26587564381027545      0.27901743296736026
0.2908509088417225        0.2087121390945059       4                        0.2908509088417225       0.2087121390945059       4                        0.2737010838402398       0.27888442101419936
0.2991608939622869        0.2086953333365112       4                        0.2991608939622869       0.2086953333365112       4                        0.2815270618902975       0.2787438434536993
0.3074708747346397        0.20867722970303584      4                        0.3074708747346397       0.20867722970303584      4                        0.28935359560403107      0.2785953078311141
0.31578085089060387       0.20865772819175496      4                        0.31578085089060387      0.20865772819175496      4                        0.2971807014717693       0.2784383989216744
0.32409082227933267       0.20863672079770082      4                        0.32409082227933267      0.20863672079770082      4                        0.3050083947170184       0.27827267749638923
0.33240079325286614       0.2086140908635091       4                        0.33240079325286614      0.2086140908635091       4                        0.3128366931462636       0.2780976789219417
0.3407107636365851        0.20858971241282284      4                        0.3407107636365851       0.20858971241282284      4                        0.3206656082694017       0.2779129119612433
0.20775086332196976       0.20882614918415246      4                        0.20775086332196976      0.20882614918415246      4                        0.19546770243094816      0.2799289611780375
0.21606088099385054       0.20881821319030777      4                        0.21606088099385054      0.20881821319030777      4                        0.2032891768670615       0.2798496098000133
0.22437089624302559       0.20880964925334725      4                        0.22437089624302559      0.20880964925334725      4                        0.21111101267567034      0.27976537192190937
0.23268090887937637       0.20880041133372584      4                        0.23268090887937637      0.20880041133372584      4                        0.2189332293761044       0.2796760149011908
0.24930092557506145       0.20877971029661863      4                        0.24930092557506145      0.20877971029661863      4                        0.23457888479396521      0.279480940124667
0.24099091871733763       0.2087904496315015       4                        0.24099091871733763      0.2087904496315015       4                        0.22675584675883748      0.2795812916928174
0.06648033228038207       0.2088958526920834       4                        0.06648033228038207      0.2088958526920834       4                        0.06254105056470972      0.28069776563130727
0.07479037188791098       0.2088941661530682       4                        0.07479037188791098      0.2088941661530682       4                        0.07035895087569177      0.28067712075322704
0.08310041080764341       0.20889225267389405      4                        0.08310041080764341      0.20889225267389405      4                        0.0781769482613668       0.2806538604311103
0.09141044896343917       0.20889010237247113      4                        0.09141044896343917      0.20889010237247113      4                        0.08599505470356042      0.28062792121893887
0.09972048627973612       0.20888770412532037      4                        0.09972048627973612      0.20888770412532037      4                        0.0938132825205736       0.2805992323337961
0.1080305226813548        0.20888504550424541      4                        0.1080305226813548       0.20888504550424541      4                        0.10163164443529507      0.28056771545463854
0.1163405580934237        0.2088821127054887       4                        0.1163405580934237       0.2088821127054887       4                        0.10945015357960891      0.28053328449747406
0.12465059244115477       0.20887889047098487      4                        0.12465059244115477      0.20887889047098487      4                        0.11726882352579758      0.28049584536915434
0.19944084342258278       0.20883349978145735      4                        0.19944084342258278      0.20883349978145735      4                        0.1876465701755613       0.28000364497543184
0.19113082149619554       0.20884030428264108      4                        0.19113082149619554      0.20884030428264108      4                        0.17982576129628663      0.2800738670285479
0.18282079774868953       0.2088465989696012       4                        0.18282079774868953      0.2088465989696012       4                        0.17200525743262002      0.28013982068939425
0.17451077239127724       0.20885241731559046      4                        0.17451077239127724      0.20885241731559046      4                        0.1641850406811847       0.28020168738890294
0.16620074564034676       0.20885779017855824      4                        0.16620074564034676      0.20885779017855824      4                        0.15636509361582548      0.28025963716357233
