% Model:              first_sketch_v06__sigmasweep_adaptivemesh_179.9CA.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 31 2021, 19:02
% Dimension:          2
% Nodes:              304
% Expressions:        6
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=27               r (mm) @ t=27            z (mm) @ t=27            dom @ t=37               r (mm) @ t=37            z (mm) @ t=37
0                         0                        1                        0                        0                        1                        0                        0
0                         0.04108241918788651      1                        0                        0.04108241918788651      1                        0                        0.0482344673365551
0                         0.07832524015489781      1                        0                        0.07832524015489781      1                        0                        0.09198672240337831
0                         0.11214848473442184      1                        0                        0.11214848473442184      1                        0                        0.1317621101507924
0                         0.14286608419834657      1                        0                        0.14286608419834657      1                        0                        0.16793156533954115
0                         0.17076316881698442      1                        0                        0.17076316881698442      1                        0                        0.20082657236891563
0                         0.19609872737459183      1                        0                        0.19609872737459183      1                        0                        0.23074510979719687
0                         0.2191079904106841       1                        0                        0.2191079904106841       1                        0                        0.2579562746080051
0                         0.2400046018471323       1                        0                        0.2400046018471323       1                        0                        0.2827039055846442
0                         0.2589825914288832       1                        0                        0.2589825914288832       1                        0                        0.3052094660985452
0                         0.27621816985120456      1                        0                        0.27621816985120456      1                        0                        0.3256744011139008
0                         0.29187136216838305      1                        0                        0.29187136216838305      1                        0                        0.34428211509922474
0                         0.3060874918011754       1                        0                        0.3060874918011754       1                        0                        0.361199669286148
0                         0.31899852834919784      1                        0                        0.31899852834919784      1                        0                        0.3765792658479381
0                         0.3307243169620022       1                        0                        0.3307243169620022       1                        0                        0.3905595827688684
0                         0.34137369320821187      1                        0                        0.34137369320821187      1                        0                        0.4032669627139067
0                         0.35121020143511         1                        0                        0.35121020143511         1                        0                        0.4150132447768714
0.03625399044031852       0                        2                        0.03625399044031852      0                        2                        0.034838100393393086     0
0                         0                        2                        0                        0                        2                        0                        0
0.07390202431879922       0                        2                        0.07390202431879922      0                        2                        0.07099009513759257      0
0.11215538307932753       0                        2                        0.11215538307932753      0                        2                        0.10766904280597492      0
0.14919282975466724       0                        2                        0.14919282975466724      0                        2                        0.14310426933719356      0
0.1860106665426268        0                        2                        0.1860106665426268       0                        2                        0.1782250712604305       0
0.22273738265102594       0                        2                        0.22273738265102594      0                        2                        0.21312743273539536      0
0.2593711980069096        0                        2                        0.2593711980069096       0                        2                        0.24778092710629057      0
0.29588197350171175       0                        2                        0.29588197350171175      0                        2                        0.2821267431560503       0
0.3322285871712414        0                        2                        0.3322285871712414       0                        2                        0.31609398740668326      0
0.36821040619303796       0                        2                        0.36821040619303796      0                        2                        0.34946237959570897      0
0.40242437264337155       0                        2                        0.40242437264337155      0                        2                        0.3809158465045689       0
0.43335516722102946       0                        2                        0.43335516722102946      0                        2                        0.40908545644693256      0
0.46130354734739515       0                        2                        0.46130354734739515      0                        2                        0.43429142875877474      0
0.48655265820628485       0                        2                        0.48655265820628485      0                        2                        0.4568348952900262       0
0.5093585387471208        0                        2                        0.5093585387471208       0                        2                        0.47698761107969967      0
0.529952730351387         0                        2                        0.529952730351387        0                        2                        0.4949947102292502       0
0.5485405158589834        0                        2                        0.5485405158589834       0                        2                        0.511073248163414        0
0.5653134423741253        0                        2                        0.5653134423741253       0                        2                        0.5254233913462539       0
0.5804440237176058        0                        2                        0.5804440237176058       0                        2                        0.5382242494663334       0
0.5940866106345982        0                        2                        0.5940866106345982       0                        2                        0.5496350466953634       0
0.6063780625551302        0                        2                        0.6063780625551302       0                        2                        0.5597963307861531       0
0.6174429971080558        0                        2                        0.6174429971080558       0                        2                        0.5688348688574624       0
0.6273991523695907        0                        2                        0.6273991523695907       0                        2                        0.5768683429472312       0
0.6363481531828313        0                        2                        0.6363481531828313       0                        2                        0.5839981966368379       0
0.644377756573118         0                        2                        0.644377756573118        0                        2                        0.5903120486764393       0
0.6515776027904592        0                        2                        0.6515776027904592       0                        2                        0.5958964085022085       0
0.6580192147269708        0                        2                        0.6580192147269708       0                        2                        0.6008212026934109       0
0.6637698879838099        0                        2                        0.6637698879838099       0                        2                        0.6051508898698296       0
0.6688921270217858        0                        2                        0.6688921270217858       0                        2                        0.6089443506667008       0
0.6734341120650135        0                        2                        0.6734341120650135       0                        2                        0.6122478873480753       0
0.677447166240035         0                        2                        0.677447166240035        0                        2                        0.6151083834272437       0
0.6809636197190838        0                        2                        0.6809636197190838       0                        2                        0.6175572043905864       0
0.6840171453452606        0                        2                        0.6840171453452606       0                        2                        0.619623771961768        0
0.6866186694913846        0                        2                        0.6866186694913846       0                        2                        0.6213148753673636       0
0.6887409063527505        0                        2                        0.6887409063527505       0                        2                        0.622601681543033        0
0.6901720344945991        0                        2                        0.6901720344945991       0                        2                        0.6233768522398522       0
0                         0.35121020143511         3                        0                        0.35121020143511         3                        0                        0.4150132447768714
0                         0.35954798493412826      3                        0                        0.35954798493412826      3                        0                        0.42259413865563766
0                         0.368767419643863        3                        0                        0.368767419643863        3                        0                        0.4309824581393462
0                         0.3789618166589963       3                        0                        0.3789618166589963       3                        0                        0.44026486503626755
0                         0.39023440223916867      3                        0                        0.39023440223916867      3                        0                        0.45053746179587423
0                         0.40269938683541534      3                        0                        0.40269938683541534      3                        0                        0.4619068511589252
0                         0.41648315815211784      3                        0                        0.41648315815211784      3                        0                        0.47449131607691797
0                         0.4317256135846958       3                        0                        0.4317256135846958       3                        0                        0.4884221485413925
0                         0.44858163026730363      3                        0                        0.44858163026730363      3                        0                        0.5038451088440382
0                         0.46722271939776794      3                        0                        0.46722271939776794      3                        0                        0.5209220746888431
0                         0.48783888297338424      3                        0                        0.48783888297338424      3                        0                        0.5398328858558161
0                         0.5106406552802545       3                        0                        0.5106406552802545       3                        0                        0.5607773695534659
0                         0.5358614189392468       3                        0                        0.5358614189392468       3                        0                        0.5839776257838908
0                         0.5637599481578036       3                        0                        0.5637599481578036       3                        0                        0.6096805242938655
0                         0.5946232644457725       3                        0                        0.5946232644457725       3                        0                        0.6381604849803347
0                         0.6287697666841402       3                        0                        0.6287697666841402       3                        0                        0.6697224972761698
0                         0.6665526965208496       3                        0                        0.6665526965208496       3                        0                        0.7047054244174222
0                         0.7083639249436976       3                        0                        0.7083639249436976       3                        0                        0.7434855610222961
0                         0.7546380760671825       3                        0                        0.7546380760671825       3                        0                        0.786480441956222
0                         0.8058570150505258       3                        0                        0.8058570150505258       3                        0                        0.8341529002910848
0                         0.8625547422899752       3                        0                        0.8625547422899752       3                        0                        0.8870153876589608
0                         0.925322793702845        3                        0                        0.925322793702845        3                        0                        0.9456346124093378
0                         0.994816443038449        3                        0                        0.994816443038449        3                        0                        1.010636862281831
0                         1.0717621132458244       3                        0                        1.0717621132458244       3                        0                        1.0827143049032237
0                         1.1569670975878708       3                        0                        1.1569670975878708       3                        0                        1.1626338895005126
0                         1.25                     3                        0                        1.25                     3                        0                        1.25
0                         0.35121020143511         4                        0                        0.35121020143511         4                        0                        0.4150132447768714
0.008165876001245596      0.35120506951042396      4                        0.008165876001245596     0.35120506951042396      4                        0.00819288548530262      0.4150023069547308
0.1551640177509336        0.3492545571322593       4                        0.1551640177509336       0.3492545571322593       4                        0.15558941693433925      0.4109139181388299
0.16333171903871865       0.3490305871009186       4                        0.16333171903871865      0.3490305871009186       4                        0.16376867455603358      0.41045266120687757
0.1714995423475928        0.348792382820553        4                        0.1714995423475928       0.348792382820553        4                        0.17194619952328502      0.40996381184952063
0.25317812223398456       0.34551697783773266      4                        0.25317812223398456      0.34551697783773266      4                        0.25358427287928703      0.40340515972399227
0.2613451391231259        0.34508681278724884      4                        0.2613451391231259       0.34508681278724884      4                        0.2617292220153266       0.40256429889906326
0.2695117855349234        0.34463512033493204      4                        0.2695117855349234       0.34463512033493204      4                        0.2698695955918722       0.4016860052133365
0.27767798745749317       0.3441610574739316       4                        0.27767798745749317      0.3441610574739316       4                        0.2780050420523786       0.40076918831090635
0.2858436627152343        0.3436637379905273       4                        0.2858436627152343       0.3436637379905273       4                        0.2861351855165615       0.3998127115157372
0.016331766870860562      0.351189664022628        4                        0.016331766870860562     0.351189664022628        4                        0.016385714850741893     0.4149694791328234
0.024497684379085803      0.3511639572108579       4                        0.024497684379085803     0.3511639572108579       4                        0.024578427386595138     0.4149147203189357
0.04899571128000248       0.3510244701577266       4                        0.04899571128000248      0.3510244701577266       4                        0.049155250455575145     0.4146180338658729
0.057161848745008015      0.350956905154547        4                        0.057161848745008015     0.350956905154547        4                        0.05734687493469534      0.414474588658814
0.032663640009561276      0.3511279025873636       4                        0.032663640009561276     0.3511279025873636       4                        0.03277096239006184      0.414837961904098
0.0408296452918712        0.35108143493043104      4                        0.0408296452918712       0.35108143493043104      4                        0.040963257849022945     0.41473910770949357
0.06532806801912727       0.35087861756411703      4                        0.06532806801912727      0.35087861756411703      4                        0.06553806370701337      0.41430859233485734
0.07349437882123817       0.3507894655391345       4                        0.07349437882123817      0.3507894655391345       4                        0.07372874648384761      0.41411983687237525
0.08166079020519815       0.3506892874525172       4                        0.08166079020519815      0.3506892874525172       4                        0.08191884982467117      0.41390808571750387
0.08982731042331335       0.3505779015685068       4                        0.08982731042331335      0.3505779015685068       4                        0.0901082966663449       0.4136730734852933
0.09799394677972424       0.35045510567305543      4                        0.09799394677972424      0.35045510567305543      4                        0.09829700585220318      0.41341450562531873
0.1061607055289275        0.3503206766617588       4                        0.1061607055289275       0.3503206766617588       4                        0.10648489165307101      0.4131320580516148
0.14699645925151464       0.3494647030195735       4                        0.14699645925151464      0.3494647030195735       4                        0.14740858184047026      0.41134816002003916
0.13882904342162553       0.3496614095673538       4                        0.13882904342162553      0.3496614095673538       4                        0.13922629669821562      0.4117559314992216
0.13066175945081598       0.34984503669702993      4                        0.13066175945081598      0.34984503669702993      4                        0.13104267184466226      0.41213774440592843
0.1143275917155426        0.350174370085906        4                        0.1143275917155426       0.350174370085906        4                        0.11467186325655507      0.41282537673752573
0.12249460899244075       0.35001591965541357      4                        0.12249460899244075      0.35001591965541357      4                        0.12285782420831708      0.4124940772762748
0.17966746483368856       0.34853950760539276      4                        0.17966746483368856      0.34853950760539276      4                        0.18012182725434758      0.40944675835302535
0.18783546137072507       0.3482714972959116       4                        0.18783546137072507      0.3482714972959116       4                        0.18829538303744547      0.4089008539345744
0.2450108016236154        0.34592641699647797      4                        0.2450108016236154       0.34592641699647797      4                        0.2454350771194329       0.40420963280138755
0.2368432375879135        0.3463158919081267       4                        0.2368432375879135       0.3463158919081267       4                        0.2372819426917808       0.404978719056577
0.22867548465035725       0.34668612590631237      4                        0.22867548465035725      0.34668612590631237      4                        0.22912515809831266      0.4057133762626833
0.22050759216418916       0.3470378054924706       4                        0.22050759216418916      0.3470378054924706       4                        0.22096499376313655      0.40641452005781314
0.21233960486096792       0.34737158174016397      4                        0.21233960486096792      0.34737158174016397      4                        0.21280170329659773      0.4070830249374759
0.1960035043275034        0.347987859308889        4                        0.1960035043275034       0.347987859308889        4                        0.19646668127286784      0.40832541597548605
0.20417156330818528       0.3476880716290708       4                        0.20417156330818528      0.3476880716290708       4                        0.2046355246582058       0.4077197252194296
0.29400872005528034       0.3431422306660552       4                        0.29400872005528034      0.3431422306660552       4                        0.2942596237860886       0.39881539076106437
0.30217304873135803       0.34259555803718655      4                        0.30217304873135803      0.34259555803718655      4                        0.30237791723455787      0.39777599468865743
0.31033649742053443       0.3420226960112742       4                        0.31033649742053443      0.3420226960112742       4                        0.3104895667875019       0.3966932465150431
0.31849890012795107       0.34142257027537093      4                        0.31849890012795107      0.34142257027537093      4                        0.3185940387519786       0.39556581993492806
0.32666008177891165       0.340794053687842        4                        0.32666008177891165      0.340794053687842        4                        0.3266907692853324       0.39439233714452177
0.334819857143678         0.3401359639698309       4                        0.334819857143678        0.3401359639698309       4                        0.3347791622782518       0.39317136762798516
0.3429780296102423        0.33944706128593316      4                        0.3429780296102423       0.33944706128593316      4                        0.34285858696529126      0.3919014269560924
0.3511343896997349        0.3387260457189071       4                        0.3511343896997349       0.3387260457189071       4                        0.35092837533896354      0.3905809755928419
0.35928871348376384       0.33797155462133555      4                        0.35928871348376384      0.33797155462133555      4                        0.3589878192467459       0.38920841773649206
0.3674407606238409        0.3371821598651137       4                        0.3674407606238409       0.3371821598651137       4                        0.36703616735274874      0.38778210017401804
0.37559028949737594       0.3363563631799368       4                        0.37559028949737594      0.3363563631799368       4                        0.3750726386899494       0.3863003080072265
0.3837369623875787        0.33549260277073367      4                        0.3837369623875787       0.33549260277073367      4                        0.383096327961872        0.38476128078938626
0.39188036977487656       0.3345892489966193       4                        0.39188036977487656      0.3345892489966193       4                        0.3911062287265051       0.38316320890411726
0.40002008517574966       0.3336445956735475       4                        0.40002008517574966      0.3336445956735475       4                        0.39910128616850665      0.38150422270666323
0.40815566279702475       0.33265685660646843      4                        0.40815566279702475      0.33265685660646843      4                        0.4070803933748661       0.3797823914785571
0.41628663505927754       0.33162416193730815      4                        0.41628663505927754      0.33162416193730815      4                        0.4150423880595979       0.3779957222710846
0.42441250948377324       0.3305445543619606       4                        0.42441250948377324      0.3305445543619606       4                        0.4229860479121567       0.3761421590343634
0.4325327650529907        0.32941598520415727      4                        0.4325327650529907       0.32941598520415727      4                        0.43091008601003555      0.37421958175090825
0.4406468479749813        0.32823631035633055      4                        0.4406468479749813       0.32823631035633055      4                        0.4388131455893287       0.3722258057428436
0.4487540984980986        0.32700329672218953      4                        0.4487540984980986       0.32700329672218953      4                        0.4466937278546169       0.37015859892516717
0.45685369903745243       0.3257146279112067       4                        0.45685369903745243      0.3257146279112067       4                        0.45455014145025735      0.3680156973398216
0.46494480717719094       0.32436788067799965      4                        0.46494480717719094      0.32436788067799965      4                        0.4623806316897634       0.36579477216659306
0.47302654372358993       0.32296052102543044      4                        0.47302654372358993      0.32296052102543044      4                        0.4701833683492307       0.3634934307562956
0.48109798652885727       0.32148989920477283      4                        0.48109798652885727      0.32148989920477283      4                        0.47795643935821486      0.36110921622439274
0.4891580770238613        0.31995326141324465      4                        0.4891580770238613       0.31995326141324465      4                        0.48569776110126206      0.3586396341713212
