% Model:              first_sketch_v06__sigmasweep_adaptivemesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 23 2021, 18:52
% Dimension:          2
% Nodes:              325
% Expressions:        12
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=67               r (mm) @ t=67            z (mm) @ t=67            dom @ t=77               r (mm) @ t=77            z (mm) @ t=77            dom @ t=87               r (mm) @ t=87            z (mm) @ t=87            dom @ t=97               r (mm) @ t=97            z (mm) @ t=97
0                         0                        1                        0                        0                        1                        0                        0                        1                        0                        0                        1                        0                        0
0                         0.05472036503134095      1                        0                        0.05472036503134095      1                        0                        0.05840566048152843      1                        0                        0.061215886837816036     1                        0                        0.0633762100820905
0                         0.10930313849371036      1                        0                        0.10930313849371036      1                        0                        0.11665343136750755      1                        0                        0.12230423426511265      1                        0                        0.1266936819347394
0                         0.15892420468940377      1                        0                        0.15892420468940377      1                        0                        0.16958892182959762      1                        0                        0.17787763235012155      1                        0                        0.18440261654390092
0                         0.20396091435074634      1                        0                        0.20396091435074634      1                        0                        0.21761566606980245      1                        0                        0.22835484185549043      1                        0                        0.23692604156757333
0                         0.24483548744114522      1                        0                        0.24483548744114522      1                        0                        0.2611871518894813       1                        0                        0.27419975639746186      1                        0                        0.28472075806708236
0                         0.2819329571621952       1                        0                        0.2819329571621952       1                        0                        0.3007175716311573       1                        0                        0.31583436799145115      1                        0                        0.3282000979548302
0                         0.3156034298143079       1                        0                        0.3156034298143079       1                        0                        0.33658345609399276      1                        0                        0.3536427877546644       1                        0                        0.3677422667294507
0                         0.3461647591959661       1                        0                        0.3461647591959661       1                        0                        0.3691263729182362       1                        0                        0.3879746281751697       1                        0                        0.4036943890349072
0                         0.3739052749233608       1                        0                        0.3739052749233608       1                        0                        0.39865590479923263      1                        0                        0.4191480198054719       1                        0                        0.43637500811364555
0                         0.3990864337647228       1                        0                        0.3990864337647228       1                        0                        0.4254525803082215       1                        0                        0.4474523772147968       1                        0                        0.4660761176044216
0                         0.4219453059400643       1                        0                        0.4219453059400643       1                        0                        0.44977061153812453      1                        0                        0.47315093467326663      1                        0                        0.493065038946164
0                         0.44269685651860496      1                        0                        0.44269685651860496      1                        0                        0.471840390288873        1                        0                        0.49648305896493095      1                        0                        0.5175862114296629
0                         0.461536011577753        1                        0                        0.461536011577753        1                        0                        0.4918707309896751       1                        0                        0.5176663385879514       1                        0                        0.5398628811535092
