% Model:              first_sketch_v06__sigmasweep_adaptivemesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 23 2021, 18:52
% Dimension:          2
% Nodes:              340
% Expressions:        15
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=107              r (mm) @ t=107           z (mm) @ t=107           dom @ t=117              r (mm) @ t=117           z (mm) @ t=117           dom @ t=127              r (mm) @ t=127           z (mm) @ t=127           dom @ t=137              r (mm) @ t=137           z (mm) @ t=137           dom @ t=147              r (mm) @ t=147           z (mm) @ t=147
0                         0.6747170912033319       1                        0                        0.6747170912033319       1                        0                        0.6967824618094611       1                        0                        0.7165361911863586       1                        0                        0.7342978855895483       1                        0                        0.7503360346296205
0                         0.6832923287966511       1                        0                        0.6832923287966511       1                        0                        0.7055893995784103       1                        0                        0.7255742262770674       1                        0                        0.7435697350304996       1                        0                        0.7598418718222648
0                         0.6653952433137116       1                        0                        0.6653952433137116       1                        0                        0.6872074641892817       1                        0                        0.7067090814421697       1                        0                        0.7242161610676524       1                        0                        0.7399999504068537
0                         0.6551435896648876       1                        0                        0.6551435896648876       1                        0                        0.6766758746268352       1                        0                        0.6958991616455241       1                        0                        0.7131257061224927       1                        0                        0.7286297749095313
0                         0.6438691015997454       1                        0                        0.6438691015997454       1                        0                        0.6650916616447925       1                        0                        0.6840075604647622       1                        0                        0.700924961986304        1                        0                        0.7161214310613025
0                         0.6314695479969356       1                        0                        0.6314695479969356       1                        0                        0.6523492268798988       1                        0                        0.670925520256069        1                        0                        0.6875022096648714       1                        0                        0.702360449371867
0                         0.6178325293156653       1                        0                        0.6178325293156653       1                        0                        0.6383323873592801       1                        0                        0.6565333417433902       1                        0                        0.6727344902757351       1                        0                        0.6872208741482322
0                         0.6028342120725144       1                        0                        0.6028342120725144       1                        0                        0.62291304478091         1                        0                        0.6406990071033268       1                        0                        0.6564861990172484       1                        0                        0.6705638410401222
0                         0.5863384603957688       1                        0                        0.5863384603957688       1                        0                        0.605950256382099        1                        0                        0.6232772162084559       1                        0                        0.6386081095430087       1                        0                        0.6522366056784853
0                         0.5681953394772192       1                        0                        0.5681953394772192       1                        0                        0.5872886513968892       1                        0                        0.6041077520101653       1                        0                        0.6189357184003702       1                        0                        0.6320708880551353
0                         0.5482398791220222       1                        0                        0.5482398791220222       1                        0                        0.5667571049030393       1                        0                        0.583014113830588        1                        0                        0.597287877745171        1                        0                        0.6098815314964204
0                         0.5262903759329095       1                        0                        0.5262903759329095       1                        0                        0.5441669204510249       1                        0                        0.5598016487369697       1                        0                        0.5734649294713767       1                        0                        0.5854646754662834
0                         0.5021468403631092       1                        0                        0.5021468403631092       1                        0                        0.5193101445719249       1                        0                        0.5342558272619228       1                        0                        0.5472470146747239       1                        0                        0.5585961464791268
0                         0.47558891059042085      1                        0                        0.47558891059042085      1                        0                        0.49195729971687013      1                        0                        0.5061399261676196       1                        0                        0.5183918064359841       1                        0                        0.529029307681566
0                         0.44637380273563426      1                        0                        0.44637380273563426      1                        0                        0.4618551113030238       1                        0                        0.4751927136853958       1                        0                        0.48663229299647287      1                        0                        0.4964930349177929
0                         0.4142339050885647       1                        0                        0.4142339050885647       1                        0                        0.4287237971135364       1                        0                        0.4411256878348908       1                        0                        0.4516741660457663       1                        0                        0.4606893963286125
0                         0.37887404048698053      1                        0                        0.37887404048698053      1                        0                        0.3922539033082387       1                        0                        0.4036198425990824       1                        0                        0.413192816211633        1                        0                        0.4212910963177554
0                         0.3399684038910641       1                        0                        0.3399684038910641       1                        0                        0.3521026335159452       1                        0                        0.36232188910725244      1                        0                        0.37082990833156493      1                        0                        0.37793875840579993
0                         0.29715713868373245      1                        0                        0.29715713868373245      1                        0                        0.3078895536177847       1                        0                        0.31683978270933844      1                        0                        0.3241894687660912       1                        0                        0.33023816068666817
0                         0.2500425910611219       1                        0                        0.2500425910611219       1                        0                        0.2591917299542265       1                        0                        0.26673763837373665      1                        0                        0.2728337384715299       1                        0                        0.2777579778394881
0                         0.19855357035998975      1                        0                        0.19855357035998975      1                        0                        0.2059198016180847       1                        0                        0.211922642826306        1                        0                        0.21668098598729527      1                        0                        0.22043857147046822
0                         0.1450084142108207       1                        0                        0.1450084142108207       1                        0                        0.15045884036317506      1                        0                        0.1548487558379292       1                        0                        0.1582599580785039       1                        0                        0.16088754887099202
0                         0.09291918204925423      1                        0                        0.09291918204925423      1                        0                        0.09644764674946797      1                        0                        0.09926267065967276      1                        0                        0.10141259337359855      1                        0                        0.10303177716702297
0                         0.044348802982459974     1                        0                        0.044348802982459974     1                        0                        0.046043172621212        1                        0                        0.047387037266054324     1                        0                        0.04840196738889299      1                        0                        0.04915497028377549
0                         0                        1                        0                        0                        1                        0                        0                        1                        0                        0                        1                        0                        0                        1                        0                        0
0.38831722464376706       0                        2                        0.38831722464376706      0                        2                        0.36874227531857157      0                        2                        0.35104106174382477      0                        2                        0.334949642932006        0                        2                        0.32025437010194036      0
0.38710818150507187       0                        2                        0.38710818150507187      0                        2                        0.36786177665072844      0                        2                        0.3503450151042369       0                        2                        0.334379142789574        0                        2                        0.3197765110846819       0
0.38544079419577737       0                        2                        0.38544079419577737      0                        2                        0.3665483961788214       0                        2                        0.34925531695895196      0                        2                        0.3334519926264201       0                        2                        0.3189735944760075       0
0.3834612204289832        0                        2                        0.3834612204289832       0                        2                        0.3649256673253762       0                        2                        0.34786984357995204      0                        2                        0.3322452380624612       0                        2                        0.3179080793479249       0
0.3811825878223772        0                        2                        0.3811825878223772       0                        2                        0.3630125054207906       0                        2                        0.34620888582430515      0                        2                        0.33077799372623706      0                        2                        0.31659614873742464      0
0.3785961789114642        0                        2                        0.3785961789114642       0                        2                        0.36080180472011114      0                        2                        0.3442664874083582       0                        2                        0.3290455432545999       0                        2                        0.31503407225479857      0
0.37567789289582576       0                        2                        0.37567789289582576      0                        2                        0.3582708475080362       0                        2                        0.3420207044231232       0                        2                        0.3270268700748987       0                        2                        0.3132019080134563       0
0.37240179925869915       0                        2                        0.37240179925869915      0                        2                        0.3553944414061626       0                        2                        0.33944677256111133      0                        2                        0.3246977143929829       0                        2                        0.3110760302830524       0
0.3687380151377401        0                        2                        0.3687380151377401       0                        2                        0.3521433412120458       0                        2                        0.33651598790710235      0                        2                        0.3220299577325015       0                        2                        0.30862899452328535      0
0.36464573659973565       0                        2                        0.36464573659973565      0                        2                        0.3484780267646274       0                        2                        0.33319002595965524      0                        2                        0.3189864322049333       0                        2                        0.3058248084379999       0
0.3600870843407419        0                        2                        0.3600870843407419       0                        2                        0.34436103295818343      0                        2                        0.3294320255706755       0                        2                        0.31553097426850163      0                        2                        0.3026281211484591       0
0.35501179134109034       0                        2                        0.35501179134109034      0                        2                        0.33974326342485206      0                        2                        0.3251941475926158       0                        2                        0.3116170140127071       0                        2                        0.29899367919378295      0
0.3493694801685636        0                        2                        0.3493694801685636       0                        2                        0.33457503422245466      0                        2                        0.32042759382873637      0                        2                        0.3071967334213061       0                        2                        0.29487474641777894      0
0.3431001526119112        0                        2                        0.3431001526119112       0                        2                        0.32879743462672567      0                        2                        0.3150746570779068       0                        2                        0.30221369790271907      0                        2                        0.2902162311280952       0
