% Model:              first_sketch_v06__sigmasweep_adaptivemesh_179.9CA.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 31 2021, 19:02
% Dimension:          2
% Nodes:              399
% Expressions:        27
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=287              r (mm) @ t=287           z (mm) @ t=287           dom @ t=297              r (mm) @ t=297           z (mm) @ t=297           dom @ t=307              r (mm) @ t=307           z (mm) @ t=307           dom @ t=317              r (mm) @ t=317           z (mm) @ t=317           dom @ t=327              r (mm) @ t=327           z (mm) @ t=327           dom @ t=337              r (mm) @ t=337           z (mm) @ t=337           dom @ t=347              r (mm) @ t=347           z (mm) @ t=347           dom @ t=357              r (mm) @ t=357           z (mm) @ t=357           dom @ t=367              r (mm) @ t=367           z (mm) @ t=367
0                         0.8782945699696542       1                        0                        0.8782945699696542       1                        0                        0.8832555590358402       1                        0                        0.8879108129425826       1                        0                        0.8922850278507334       1                        0                        0.896400307516424        1                        0                        0.9002767289849646       1                        0                        0.9039324875739907       1                        0                        0.9073840387020499       1                        0                        0.9106464500716536
0                         0.8868429452930602       1                        0                        0.8868429452930602       1                        0                        0.891837043042261        1                        0                        0.8965233308938413       1                        0                        0.9009269872409398       1                        0                        0.9050704565746472       1                        0                        0.9089740501866076       1                        0                        0.9126561202061763       1                        0                        0.9161332258169557       1                        0                        0.9194205054804504
0                         0.8689915113593834       1                        0                        0.8689915113593834       1                        0                        0.8739162198337247       1                        0                        0.8785374667325053       1                        0                        0.882879428197672        1                        0                        0.8869638385852343       1                        0                        0.890810519133009        1                        0                        0.8944374924610781       1                        0                        0.8978610986299007       1                        0                        0.9010963259417841
0                         0.8587471283661131       1                        0                        0.8587471283661131       1                        0                        0.8636315983052731       1                        0                        0.8682151278987672       1                        0                        0.872521325434147        1                        0                        0.8765715198328881       1                        0                        0.8803852496218564       1                        0                        0.8839803450412786       1                        0                        0.8873730165217701       1                        0                        0.8905781623837221
0                         0.8474661615944674       1                        0                        0.8474661615944674       1                        0                        0.8523059896503222       1                        0                        0.856847673527025        1                        0                        0.8611142007657617       1                        0                        0.8651264549844058       1                        0                        0.8689036621806931       1                        0                        0.872463438360201        1                        0                        0.875821848447867        1                        0                        0.8789936889944028
0                         0.8350436917435762       1                        0                        0.8350436917435762       1                        0                        0.8398339784866794       1                        0                        0.8443292224515088       1                        0                        0.8485517316221137       1                        0                        0.8525219000364793       1                        0                        0.8562586080615838       1                        0                        0.8597792332168147       1                        0                        0.8630996773127131       1                        0                        0.8662346220654727
0                         0.8213642044791952       1                        0                        0.8213642044791952       1                        0                        0.8260994981385953       1                        0                        0.8305431893313705       1                        0                        0.8347168406713832       1                        0                        0.8386403072271489       1                        0                        0.8423320869093899       1                        0                        0.8458092918493871       1                        0                        0.8490876412697146       1                        0                        0.8521816876504639
0                         0.8063005410159838       1                        0                        0.8063005410159838       1                        0                        0.810974774921993        1                        0                        0.8153612231018559       1                        0                        0.8194806286161402       1                        0                        0.8233522521812201       1                        0                        0.8269941681669444       1                        0                        0.8304231934707128       1                        0                        0.8336548432515481       1                        0                        0.8367035249698735
0                         0.7897126161510821       1                        0                        0.7897126161510821       1                        0                        0.794319038695693        1                        0                        0.7986419106521532       1                        0                        0.8027010712265669       1                        0                        0.8065151242934722       1                        0                        0.8101016746737038       1                        0                        0.8134772108923564       1                        0                        0.816657020421897        1                        0                        0.8196553485110165
0                         0.7714461660452593       1                        0                        0.7714461660452593       1                        0                        0.7759772622738348       1                        0                        0.7802295086529331       1                        0                        0.7842217438891831       1                        0                        0.7879718440062793       1                        0                        0.7914968925113269       1                        0                        0.7948130127016697       1                        0                        0.7979352384322153       1                        0                        0.8008776341331365
0                         0.7513313869382113       1                        0                        0.7513313869382113       1                        0                        0.7557787907592837       1                        0                        0.7599525645249033       1                        0                        0.7638704346266798       1                        0                        0.7675494679163686       1                        0                        0.7710061680138812       1                        0                        0.7742562518904764       1                        0                        0.7773144713599073       1                        0                        0.7801946900282255
0                         0.7291811861800427       1                        0                        0.7291811861800427       1                        0                        0.7335355792867257       1                        0                        0.7376221424303017       1                        0                        0.7414573590440778       1                        0                        0.7450573928505334       1                        0                        0.748438100835967        1                        0                        0.7516147476279075       1                        0                        0.7546017718547243       1                        0                        0.7574128149307472
0                         0.704789649574293        1                        0                        0.704789649574293        1                        0                        0.7090406456640704       1                        0                        0.7130302632248586       1                        0                        0.7167735885661363       1                        0                        0.7202857726911495       1                        0                        0.7235819492684422       1                        0                        0.7266768787711972       1                        0                        0.7295846524884207       1                        0                        0.7323186669712135
0                         0.6779299123850631       1                        0                        0.6779299123850631       1                        0                        0.6820659190080645       1                        0                        0.6859477338502206       1                        0                        0.6895888622480446       1                        0                        0.6930033133051859       1                        0                        0.6962054084040339       1                        0                        0.6992093450912683       1                        0                        0.7020288297613644       1                        0                        0.7046769901989967
0                         0.6483522449486224       1                        0                        0.6483522449486224       1                        0                        0.6523602975096301       1                        0                        0.6561221815917706       1                        0                        0.6596495999435537       1                        0                        0.6629552657656084       1                        0                        0.6660525837781085       1                        0                        0.6689551213037921       1                        0                        0.6716761583559007       1                        0                        0.6742285289047789
0                         0.6157815673674604       1                        0                        0.6157815673674604       1                        0                        0.6196471185843482       1                        0                        0.6232754866612901       1                        0                        0.6266763014564144       1                        0                        0.6298607942925645       1                        0                        0.6328413291358633       1                        0                        0.6356307650826071       1                        0                        0.6382419095824953       1                        0                        0.6406872766800535
0                         0.5799149607486964       1                        0                        0.5799149607486964       1                        0                        0.5836216063540943       1                        0                        0.5871011763648911       1                        0                        0.5903608938927041       1                        0                        0.5934102805556148       1                        0                        0.596260509738888        1                        0                        0.5989236405294736       1                        0                        0.6014119558251336       1                        0                        0.6037376226275135
0                         0.5404188372666572       1                        0                        0.5404188372666572       1                        0                        0.5439479380691921       1                        0                        0.5472614049566517       1                        0                        0.5503636361221336       1                        0                        0.55326215966942         1                        0                        0.5559667740982744       1                        0                        0.5584886283896814       1                        0                        0.5608394213865262       1                        0                        0.5630309448889695
0                         0.4969257694136844       1                        0                        0.4969257694136844       1                        0                        0.5002558971411053       1                        0                        0.5033834595031088       1                        0                        0.5063094976581912       1                        0                        0.5090391854495994       1                        0                        0.5115807144246103       1                        0                        0.5139441879941515       1                        0                        0.5161406511011885       1                        0                        0.5181814908132882
0                         0.44903104573045716      1                        0                        0.44903104573045716      1                        0                        0.4521371372817887       1                        0                        0.45505577862583013      1                        0                        0.45778396706732577      1                        0                        0.4603240535847461       1                        0                        0.4626823225772045       1                        0                        0.4648676598960339       1                        0                        0.4668903716244263       1                        0                        0.4687614082015268
0                         0.39932855410589346      1                        0                        0.39932855410589346      1                        0                        0.4021953767599932       1                        0                        0.40489147972134415      1                        0                        0.40740921998535184      1                        0                        0.4097477111813105       1                        0                        0.41191106869398836      1                        0                        0.4139068197897131       1                        0                        0.41574447265590414      1                        0                        0.4174345311374388
0                         0.3539334347775899       1                        0                        0.3539334347775899       1                        0                        0.35657392255962483      1                        0                        0.3590601837711944       1                        0                        0.36137989842223645      1                        0                        0.3635288960652894       1                        0                        0.36550909980622814      1                        0                        0.3673266850658927       1                        0                        0.3689903896924983       1                        0                        0.37051030926727146
0                         0.3127904222600545       1                        0                        0.3127904222600545       1                        0                        0.31521725671466266      1                        0                        0.31750609243188904      1                        0                        0.31964000181310226      1                        0                        0.321611527184541        1                        0                        0.32342039062239347      1                        0                        0.3250714232380762       1                        0                        0.32657261436412466      1                        0                        0.32793368066615086
0                         0.27551631274603056      1                        0                        0.27551631274603056      1                        0                        0.27774029077630336      1                        0                        0.27984226019353725      1                        0                        0.2818008659431841       1                        0                        0.28360540184613764      1                        0                        0.2852533905203765       1                        0                        0.2867483228750403       1                        0                        0.2880974524694674       1                        0                        0.28931013489375107
