% Model:              first_sketch_v06__sigmasweep_adaptivemesh_179.9CA.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 31 2021, 19:02
% Dimension:          2
% Nodes:              396
% Expressions:        72
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=377              r (mm) @ t=377           z (mm) @ t=377           dom @ t=387              r (mm) @ t=387           z (mm) @ t=387           dom @ t=397              r (mm) @ t=397           z (mm) @ t=397           dom @ t=407              r (mm) @ t=407           z (mm) @ t=407           dom @ t=417              r (mm) @ t=417           z (mm) @ t=417           dom @ t=427              r (mm) @ t=427           z (mm) @ t=427           dom @ t=437              r (mm) @ t=437           z (mm) @ t=437           dom @ t=447              r (mm) @ t=447           z (mm) @ t=447           dom @ t=457              r (mm) @ t=457           z (mm) @ t=457           dom @ t=467              r (mm) @ t=467           z (mm) @ t=467           dom @ t=477              r (mm) @ t=477           z (mm) @ t=477           dom @ t=487              r (mm) @ t=487           z (mm) @ t=487           dom @ t=497              r (mm) @ t=497           z (mm) @ t=497           dom @ t=507              r (mm) @ t=507           z (mm) @ t=507           dom @ t=517              r (mm) @ t=517           z (mm) @ t=517           dom @ t=527              r (mm) @ t=527           z (mm) @ t=527           dom @ t=537              r (mm) @ t=537           z (mm) @ t=537           dom @ t=547              r (mm) @ t=547           z (mm) @ t=547           dom @ t=557              r (mm) @ t=557           z (mm) @ t=557           dom @ t=567              r (mm) @ t=567           z (mm) @ t=567           dom @ t=577              r (mm) @ t=577           z (mm) @ t=577           dom @ t=587              r (mm) @ t=587           z (mm) @ t=587           dom @ t=597              r (mm) @ t=597           z (mm) @ t=597           dom @ t=607              r (mm) @ t=607           z (mm) @ t=607
0                         0.9137955920319781       1                        0                        0.9137955920319781       1                        0                        0.9167245471218618       1                        0                        0.9186726570601873       1                        0                        0.9205510775056288       1                        0                        0.9223630878182902       1                        0                        0.9241117913732081       1                        0                        0.9258001164559767       1                        0                        0.927430820228563        1                        0                        0.9290065168509652       1                        0                        0.9305296534783409       1                        0                        0.9320025796442104       1                        0                        0.9334274855418399       1                        0                        0.9348064528511488       1                        0                        0.9361416832186557       1                        0                        0.937434350820124        1                        0                        0.9386869161905783       1                        0                        0.9399008258258295       1                        0                        0.9410776701366436       1                        0                        0.9422189593097671       1                        0                        0.9433261230882138       1                        0                        0.9444005278427042       1                        0                        0.9454434615234952       1                        0                        0.9464561620725962       1                        0                        0.947439794316329
0                         0.9225316653110772       1                        0                        0.9225316653110772       1                        0                        0.9254792445639739       1                        0                        0.9274397189124676       1                        0                        0.9293300798066395       1                        0                        0.9311536530885915       1                        0                        0.9329135817067158       1                        0                        0.9346128272575005       1                        0                        0.9362541746793992       1                        0                        0.9378402613518989       1                        0                        0.9393735535102161       1                        0                        0.9408564169195238       1                        0                        0.9422910550506516       1                        0                        0.9436795608411096       1                        0                        0.9450241471177112       1                        0                        0.9463259913569786       1                        0                        0.9475875660472697       1                        0                        0.9488103222531064       1                        0                        0.9499958558551516       1                        0                        0.9511456819346763       1                        0                        0.9522612346104821       1                        0                        0.953343884317754        1                        0                        0.9543949226354942       1                        0                        0.955415591011184        1                        0                        0.9564070573962286
0                         0.9041872813295793       1                        0                        0.9041872813295793       1                        0                        0.9070955937145783       1                        0                        0.9090299984668424       1                        0                        0.9108951842740857       1                        0                        0.9126943797503831       1                        0                        0.9144306449546034       1                        0                        0.9161068716031155       1                        0                        0.917725786265301        1                        0                        0.9192899774381202       1                        0                        0.9208018711088161       1                        0                        0.9222637987371546       1                        0                        0.9236779356697777       1                        0                        0.9250463509510373       1                        0                        0.9263712336654714       1                        0                        0.9276537541370896       1                        0                        0.9288963594828357       1                        0                        0.9301004909534902       1                        0                        0.9312677327273057       1                        0                        0.9323995894056506       1                        0                        0.9334974857312015       1                        0                        0.9345627834310383       1                        0                        0.935596766304693        1                        0                        0.936600668292475        1                        0                        0.9375756506491632
0                         0.8935770019168462       1                        0                        0.8935770019168462       1                        0                        0.8964623364278965       1                        0                        0.8983814847687844       1                        0                        0.900231938502776        1                        0                        0.9020168705768656       1                        0                        0.9037392934159393       1                        0                        0.9054020584092045       1                        0                        0.9070078582861958       1                        0                        0.908559253063613        1                        0                        0.9100586451537651       1                        0                        0.911508345819043        1                        0                        0.912910513750341        1                        0                        0.9142672037673786       1                        0                        0.9155805907982649       1                        0                        0.9168518406814777       1                        0                        0.9180833854235418       1                        0                        0.9192766602499293       1                        0                        0.9204332422256798       1                        0                        0.9215546295687688       1                        0                        0.9226422412999412       1                        0                        0.9236974338334101       1                        0                        0.9247214862147046       1                        0                        0.9257156278090304       1                        0                        0.9266810157835533
0                         0.8818602639220838       1                        0                        0.8818602639220838       1                        0                        0.8847200155578717       1                        0                        0.8866221768348757       1                        0                        0.88845622772853         1                        0                        0.8902252800558085       1                        0                        0.891932293814042        1                        0                        0.8935800758921335       1                        0                        0.8951712815724762       1                        0                        0.8967084392607902       1                        0                        0.8981939251182595       1                        0                        0.899630027847878        1                        0                        0.9010188874712355       1                        0                        0.9023625428138248       1                        0                        0.9036631528703164       1                        0                        0.9049218782877456       1                        0                        0.9061411340740455       1                        0                        0.9073223485585878       1                        0                        0.9084670907099404       1                        0                        0.9095768514715038       1                        0                        0.910653043336046        1                        0                        0.9116970166574074       1                        0                        0.9127100450531107       1                        0                        0.9136933526729606       1                        0                        0.9146480920200181
0                         0.8689216805709933       1                        0                        0.8689216805709933       1                        0                        0.8717529441106763       1                        0                        0.8736361880327269       1                        0                        0.875451972407626        1                        0                        0.8772033418264308       1                        0                        0.8788931985150226       1                        0                        0.8805243002133432       1                        0                        0.8820992607412383       1                        0                        0.8836205734111747       1                        0                        0.8850905851583736       1                        0                        0.8865115595026817       1                        0                        0.8878856155606986       1                        0                        0.8892147741997801       1                        0                        0.8905011765080787       1                        0                        0.8917459771633237       1                        0                        0.8929515720758681       1                        0                        0.8941193817153715       1                        0                        0.8952509658640232       1                        0                        0.8963478072029784       1                        0                        0.8974113108038614       1                        0                        0.8984428201320195       1                        0                        0.8994436026303682       1                        0                        0.9004148765243334       1                        0                        0.9013577890144908
0                         0.854633832381537        1                        0                        0.854633832381537        1                        0                        0.8574333688404937       1                        0                        0.8592955431872219       1                        0                        0.8610909828572766       1                        0                        0.8628226583736363       1                        0                        0.8644934082045777       1                        0                        0.8661059357433298       1                        0                        0.86766280886583         1                        0                        0.8691664819124977       1                        0                        0.8706192692850848       1                        0                        0.8720234064087383       1                        0                        0.8733809890182586       1                        0                        0.8746940178506202       1                        0                        0.8759646139049857       1                        0                        0.8771939250423263       1                        0                        0.8783843257510624       1                        0                        0.8795372275845215       1                        0                        0.8806541799397861       1                        0                        0.881736656150295        1                        0                        0.8827860528856025       1                        0                        0.8838037058135007       1                        0                        0.8847908753832083       1                        0                        0.8857487731182296       1                        0                        0.8866785402167534
0                         0.83885601339757         1                        0                        0.83885601339757         1                        0                        0.8416202131826307       1                        0                        0.843458919354654        1                        0                        0.8452316979377936       1                        0                        0.8469414376552914       1                        0                        0.8485909064741952       1                        0                        0.850182747602975        1                        0                        0.8517194779556355       1                        0                        0.8532035085713611       1                        0                        0.8546371176385275       1                        0                        0.8560225092589174       1                        0                        0.8573617530473439       1                        0                        0.8586568272159711       1                        0                        0.859909830270633        1                        0                        0.8611219023440708       1                        0                        0.8622953939398276       1                        0                        0.8634317065483494       1                        0                        0.8645323778749634       1                        0                        0.8655988707239705       1                        0                        0.86663257229672         1                        0                        0.8676348094762679       1                        0                        0.8686068348297473       1                        0                        0.8695498523357101       1                        0                        0.8704649964317505
0                         0.8214328439675901       1                        0                        0.8214328439675901       1                        0                        0.8241576864671671       1                        0                        0.8259702527266524       1                        0                        0.8277177897272782       1                        0                        0.8294030955891643       1                        0                        0.8310288601314232       1                        0                        0.8325976597850828       1                        0                        0.8341119548598666       1                        0                        0.8355741082484085       1                        0                        0.836986357826016        1                        0                        0.838350872791621        1                        0                        0.8396696936184167       1                        0                        0.8409447733634217       1                        0                        0.8421781854015634       1                        0                        0.8433710611713627       1                        0                        0.8445257243787          1                        0                        0.8456435652219799       1                        0                        0.8467261083051922       1                        0                        0.8477748046322253       1                        0                        0.8487910307917388       1                        0                        0.8497761038238311       1                        0                        0.8507312674632402       1                        0                        0.8516577172421773       1                        0                        0.8525565800282398
0                         0.8021927410873021       1                        0                        0.8021927410873021       1                        0                        0.804873750078525        1                        0                        0.8066572021057594       1                        0                        0.8083766244221646       1                        0                        0.8100347144371179       1                        0                        0.8116340750869392       1                        0                        0.8131772085332618       1                        0                        0.8146665121047005       1                        0                        0.816104295104205        1                        0                        0.8174927505165462       1                        0                        0.8188340086674074       1                        0                        0.8201300775581993       1                        0                        0.821382882210349        1                        0                        0.8225944679866003       1                        0                        0.8237659566246287       1                        0                        0.8248996419610366       1                        0                        0.8259969016027592       1                        0                        0.8270592455498688       1                        0                        0.8280881116560049       1                        0                        0.8290848646864746       1                        0                        0.8300508107215488       1                        0                        0.8309871836639713       1                        0                        0.8318951696521086       1                        0                        0.8327758871350165
