% Model:              first_sketch_v06__sigmasweep_adaptivemesh_179.9CA.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 31 2021, 19:02
% Dimension:          2
% Nodes:              422
% Expressions:        111
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=617              r (mm) @ t=617           z (mm) @ t=617           dom @ t=627              r (mm) @ t=627           z (mm) @ t=627           dom @ t=637              r (mm) @ t=637           z (mm) @ t=637           dom @ t=647              r (mm) @ t=647           z (mm) @ t=647           dom @ t=657              r (mm) @ t=657           z (mm) @ t=657           dom @ t=667              r (mm) @ t=667           z (mm) @ t=667           dom @ t=677              r (mm) @ t=677           z (mm) @ t=677           dom @ t=687              r (mm) @ t=687           z (mm) @ t=687           dom @ t=697              r (mm) @ t=697           z (mm) @ t=697           dom @ t=707              r (mm) @ t=707           z (mm) @ t=707           dom @ t=717              r (mm) @ t=717           z (mm) @ t=717           dom @ t=727              r (mm) @ t=727           z (mm) @ t=727           dom @ t=737              r (mm) @ t=737           z (mm) @ t=737           dom @ t=747              r (mm) @ t=747           z (mm) @ t=747           dom @ t=757              r (mm) @ t=757           z (mm) @ t=757           dom @ t=767              r (mm) @ t=767           z (mm) @ t=767           dom @ t=777              r (mm) @ t=777           z (mm) @ t=777           dom @ t=787              r (mm) @ t=787           z (mm) @ t=787           dom @ t=797              r (mm) @ t=797           z (mm) @ t=797           dom @ t=807              r (mm) @ t=807           z (mm) @ t=807           dom @ t=817              r (mm) @ t=817           z (mm) @ t=817           dom @ t=827              r (mm) @ t=827           z (mm) @ t=827           dom @ t=837              r (mm) @ t=837           z (mm) @ t=837           dom @ t=847              r (mm) @ t=847           z (mm) @ t=847           dom @ t=857              r (mm) @ t=857           z (mm) @ t=857           dom @ t=867              r (mm) @ t=867           z (mm) @ t=867           dom @ t=877              r (mm) @ t=877           z (mm) @ t=877           dom @ t=887              r (mm) @ t=887           z (mm) @ t=887           dom @ t=897              r (mm) @ t=897           z (mm) @ t=897           dom @ t=907              r (mm) @ t=907           z (mm) @ t=907           dom @ t=917              r (mm) @ t=917           z (mm) @ t=917           dom @ t=927              r (mm) @ t=927           z (mm) @ t=927           dom @ t=937              r (mm) @ t=937           z (mm) @ t=937           dom @ t=947              r (mm) @ t=947           z (mm) @ t=947           dom @ t=957              r (mm) @ t=957           z (mm) @ t=957           dom @ t=967              r (mm) @ t=967           z (mm) @ t=967           dom @ t=977              r (mm) @ t=977           z (mm) @ t=977
0                         0.9488422075513375       1                        0                        0.9488422075513375       1                        0                        0.9497732496793597       1                        0                        0.9506784480790869       1                        0                        0.9515587578502638       1                        0                        0.9524150917798307       1                        0                        0.953248316530247        1                        0                        0.954059272018307        1                        0                        0.9548487491351997       1                        0                        0.9556175056962675       1                        0                        0.956366268501007        1                        0                        0.9570957317640757       1                        0                        0.9578065595434038       1                        0                        0.9584993896223144       1                        0                        0.9591748301199017       1                        0                        0.9598334662454361       1                        0                        0.9604758558287991       1                        0                        0.9611025367320103       1                        0                        0.9617140227375605       1                        0                        0.9623108075886189       1                        0                        0.9628933644423806       1                        0                        0.9634621778202446       1                        0                        0.9640175935474762       1                        0                        0.9645601219349373       1                        0                        0.9650901363739374       1                        0                        0.9656080291302627       1                        0                        0.9661141548511087       1                        0                        0.9666088998317423       1                        0                        0.9670925866734059       1                        0                        0.9675655345881391       1                        0                        0.9680280945968389       1                        0                        0.968480589490717        1                        0                        0.9689232265503095       1                        0                        0.9693563796606754       1                        0                        0.9697802932924068       1                        0                        0.9701952331922974       1                        0                        0.9706014540849945       1                        0                        0.9709992025268347
0                         0.957370407711564        1                        0                        0.957370407711564        1                        0                        0.958306783239088        1                        0                        0.9592171572115867       1                        0                        0.9601024953016895       1                        0                        0.9609637201348794       1                        0                        0.9618017073700977       1                        0                        0.9626173052636804       1                        0                        0.9634113121921197       1                        0                        0.9641844927796994       1                        0                        0.964937580006461        1                        0                        0.9656712736596725       1                        0                        0.9663862428215237       1                        0                        0.9670831298255552       1                        0                        0.9677625468724301       1                        0                        0.9684250828834646       1                        0                        0.9690712990213227       1                        0                        0.969701736201846        1                        0                        0.9703169109688055       1                        0                        0.9709173195959175       1                        0                        0.9715034375535057       1                        0                        0.9720757516769298       1                        0                        0.972634609203949        1                        0                        0.9731805228279238       1                        0                        0.9737138674577425       1                        0                        0.9742350369716021       1                        0                        0.9747443873867778       1                        0                        0.9752423065727442       1                        0                        0.9757291183020659       1                        0                        0.9762051429455727       1                        0                        0.9766707329051082       1                        0                        0.9771262121921682       1                        0                        0.9775717885626538       1                        0                        0.9780078375027721       1                        0                        0.9784346042498332       1                        0                        0.9788523554871151       1                        0                        0.9792613468242812       1                        0                        0.9796618256764501
0                         0.9394926489622761       1                        0                        0.9394926489622761       1                        0                        0.9404177944173027       1                        0                        0.9413172702845798       1                        0                        0.9421920201133935       1                        0                        0.9430429459481636       1                        0                        0.9438709046226704       1                        0                        0.9446767269339972       1                        0                        0.9454611955801054       1                        0                        0.9462250609152807       1                        0                        0.946969042958765        1                        0                        0.9476938298046363       1                        0                        0.9484000799856975       1                        0                        0.9490884262750775       1                        0                        0.9497594722917175       1                        0                        0.9504137991467482       1                        0                        0.9510519609854226       1                        0                        0.9516744922891267       1                        0                        0.9522819037792313       1                        0                        0.9528746863899106       1                        0                        0.9534533107072964       1                        0                        0.9540182586792231       1                        0                        0.9545698745516784       1                        0                        0.9551086659843875       1                        0                        0.9556350046721434       1                        0                        0.956149281079245        1                        0                        0.9566518483189453       1                        0                        0.9571430909275992       1                        0                        0.9576233301924585       1                        0                        0.9580928840258698       1                        0                        0.9585521019045744       1                        0                        0.9590013052536034       1                        0                        0.9594407008095365       1                        0                        0.9598706606726645       1                        0                        0.9602914284497898       1                        0                        0.9607032688375392       1                        0                        0.9611064355678588       1                        0                        0.9615011742341213
0                         0.9291918178499076       1                        0                        0.9291918178499076       1                        0                        0.9301104107180438       1                        0                        0.9310035271251224       1                        0                        0.9318720979240231       1                        0                        0.9327170133607094       1                        0                        0.9335391194693202       1                        0                        0.9343392370176793       1                        0                        0.9351181396855744       1                        0                        0.9358765696066996       1                        0                        0.9366152393218755       1                        0                        0.9373348301669627       1                        0                        0.9380359945670729       1                        0                        0.9387193597503798       1                        0                        0.9393855243492457       1                        0                        0.9400350649281701       1                        0                        0.9406685315392288       1                        0                        0.9412864549038183       1                        0                        0.9418893423342467       1                        0                        0.9424776816326559       1                        0                        0.9430519405149379       1                        0                        0.9436125980541823       1                        0                        0.9441599967240576       1                        0                        0.9446946412213167       1                        0                        0.9452169013368962       1                        0                        0.9457271655143712       1                        0                        0.9462257851431465       1                        0                        0.9467131427864          1                        0                        0.9471895582520615       1                        0                        0.9476553479894599       1                        0                        0.9481108597417811       1                        0                        0.948556413398607        1                        0                        0.948992215073384        1                        0                        0.9494186348682754       1                        0                        0.9498359154138069       1                        0                        0.950244320224547        1                        0                        0.9506441019147929       1                        0                        0.9510355049940596
0                         0.9178428878884464       1                        0                        0.9178428878884464       1                        0                        0.9187541985874642       1                        0                        0.9196402470478499       1                        0                        0.9205019501447271       1                        0                        0.9213401851506          1                        0                        0.9221557862209303       1                        0                        0.9229495630841712       1                        0                        0.923722279485992        1                        0                        0.924474668496386        1                        0                        0.9252074344029272       1                        0                        0.9259212510757325       1                        0                        0.9266167641859195       1                        0                        0.9272945948235536       1                        0                        0.9279553360949346       1                        0                        0.9285995595206072       1                        0                        0.9292278106064543       1                        0                        0.9298406158932835       1                        0                        0.9304384788985649       1                        0                        0.9310218839342463       1                        0                        0.931591295514253        1                        0                        0.9321471895028552       1                        0                        0.9326899063876174       1                        0                        0.933219947556169        1                        0                        0.9337376806656881       1                        0                        0.9342434918957746       1                        0                        0.9347377307013155       1                        0                        0.9352207774344541       1                        0                        0.9356929502403445       1                        0                        0.9361545639240187       1                        0                        0.9366059642847491       1                        0                        0.9370474694886728       1                        0                        0.937479284938371        1                        0                        0.9379017785007188       1                        0                        0.938315191705072        1                        0                        0.9387197867374303       1                        0                        0.939115814955621        1                        0                        0.9395035196509836
0                         0.905339204366068        1                        0                        0.905339204366068        1                        0                        0.9062424219592953       1                        0                        0.9071206149748119       1                        0                        0.9079746848695224       1                        0                        0.9088054946293288       1                        0                        0.9096138653273643       1                        0                        0.9104005945272928       1                        0                        0.9111664350208034       1                        0                        0.9119121098760742       1                        0                        0.9126383142658645       1                        0                        0.9133457138083042       1                        0                        0.914034946702765        1                        0                        0.9147066272429019       1                        0                        0.9153613424105758       1                        0                        0.9159996581310913       1                        0                        0.9166221148622378       1                        0                        0.9172292344984956       1                        0                        0.9178215163355016       1                        0                        0.9183994407987409       1                        0                        0.9189634688332701       1                        0                        0.9195140727249655       1                        0                        0.9200515907395307       1                        0                        0.9205765205722953       1                        0                        0.9210892274928157       1                        0                        0.9215900951478815       1                        0                        0.9220794708252127       1                        0                        0.9225577324029162       1                        0                        0.9230251961608333       1                        0                        0.9234821750595059       1                        0                        0.9239290127216236       1                        0                        0.9243660253820312       1                        0                        0.92479341763618         1                        0                        0.9252115548529045       1                        0                        0.925620677322588        1                        0                        0.9260210457407343       1                        0                        0.9264129100552644       1                        0                        0.9267965121908656
0                         0.891563245906894        1                        0                        0.891563245906894        1                        0                        0.892457469774038        1                        0                        0.8933269327671518       1                        0                        0.8941725192955228       1                        0                        0.8949950765835273       1                        0                        0.8957954112733836       1                        0                        0.8965743075052903       1                        0                        0.8973325059775403       1                        0                        0.8980707187096557       1                        0                        0.8987896307992788       1                        0                        0.8994898987371845       1                        0                        0.9001721524528016       1                        0                        0.9008369987121574       1                        0                        0.9014850177087531       1                        0                        0.9021167691616913       1                        0                        0.9027327879250129       1                        0                        0.9033335907317904       1                        0                        0.9039196721840382       1                        0                        0.9044915083833245       1                        0                        0.9050495563011236       1                        0                        0.9055942842372421       1                        0                        0.9061260279767653       1                        0                        0.9066452810998498       1                        0                        0.9071524062093997       1                        0                        0.9076477841235967       1                        0                        0.9081317597073825       1                        0                        0.9086047080753147       1                        0                        0.9090669434196011       1                        0                        0.909518776636467        1                        0                        0.909960548915897        1                        0                        0.9103925743328296       1                        0                        0.9108150565711611       1                        0                        0.9112283582116683       1                        0                        0.9116327181548124       1                        0                        0.9120283954276865       1                        0                        0.9124156383997146       1                        0                        0.9127946874657776
0                         0.8763856060697318       1                        0                        0.8763856060697318       1                        0                        0.8772698370055982       1                        0                        0.8781295997102838       1                        0                        0.878965759689809        1                        0                        0.8797791467412042       1                        0                        0.8805705515574127       1                        0                        0.8813407434414716       1                        0                        0.8820904497204516       1                        0                        0.882820370193226        1                        0                        0.8835311788090284       1                        0                        0.8842235219545307       1                        0                        0.8848980204000845       1                        0                        0.8855552725709981       1                        0                        0.8861958511353926       1                        0                        0.8868203089291123       1                        0                        0.8874291745876899       1                        0                        0.8880229591138433       1                        0                        0.888602151895622        1                        0                        0.8891672242288866       1                        0                        0.889718628666384        1                        0                        0.8902568290735611       1                        0                        0.8907821584723294       1                        0                        0.8912951058625617       1                        0                        0.8917960308753896       1                        0                        0.8922853111765153       1                        0                        0.8927632889288615       1                        0                        0.8932303361663401       1                        0                        0.8936867647510633       1                        0                        0.8941328832751175       1                        0                        0.8945690302153554       1                        0                        0.8949955172368383       1                        0                        0.8954125470001275       1                        0                        0.8958204789792119       1                        0                        0.8962195505206559       1                        0                        0.896610018788975        1                        0                        0.8969921303911305       1                        0                        0.8973661240141376
0                         0.8596636609463998       1                        0                        0.8596636609463998       1                        0                        0.8605367915798712       1                        0                        0.8613857787935473       1                        0                        0.8622114670606539       1                        0                        0.8630146668575254       1                        0                        0.8637961512086977       1                        0                        0.8645566729843518       1                        0                        0.865296944700851        1                        0                        0.8660176526191486       1                        0                        0.8667194583364631       1                        0                        0.8674029970424461       1                        0                        0.8680688793557719       1                        0                        0.8687176944554863       1                        0                        0.8693500066653976       1                        0                        0.8699663611876034       1                        0                        0.8705672797592424       1                        0                        0.8711532670249019       1                        0                        0.8717248065857597       1                        0                        0.8722823644026035       1                        0                        0.8728263881212996       1                        0                        0.8733573366816129       1                        0                        0.8738755400354707       1                        0                        0.8743814820927637       1                        0                        0.8748755191810937       1                        0                        0.8753580254610119       1                        0                        0.8758293400903303       1                        0                        0.8762898316769608       1                        0                        0.8767398094904489       1                        0                        0.8771795795590399       1                        0                        0.8776094773413012       1                        0                        0.8780298118209333       1                        0                        0.878440784517451        1                        0                        0.8788427514494768       1                        0                        0.8792359482333011       1                        0                        0.879620629960625        1                        0                        0.8799970412768124       1                        0                        0.8803654189682404
0                         0.8412402355935537       1                        0                        0.8412402355935537       1                        0                        0.842101040170963        1                        0                        0.8429380619196724       1                        0                        0.8437521218156154       1                        0                        0.8445440088473068       1                        0                        0.8453144764121184       1                        0                        0.846064259136112        1                        0                        0.8467940530949921       1                        0                        0.8475045295244563       1                        0                        0.8481963363145825       1                        0                        0.8488700962309585       1                        0                        0.8495264086294256       1                        0                        0.8501658524321761       1                        0                        0.8507889827075117       1                        0                        0.8513963361913645       1                        0                        0.8519884269706522       1                        0                        0.8525657526397435       1                        0                        0.853128790383192        1                        0                        0.8536780002464557       1                        0                        0.854213824434867        1                        0                        0.8547367164259343       1                        0                        0.855247002770503        1                        0                        0.8557451617321621       1                        0                        0.8562315459765618       1                        0                        0.8567065257774318       1                        0                        0.8571704369609077       1                        0                        0.8576236443351776       1                        0                        0.8580664542955291       1                        0                        0.858499170027555        1                        0                        0.8589221236418241       1                        0                        0.8593356211481384       1                        0                        0.8597398628035263       1                        0                        0.8601352007921664       1                        0                        0.8605218688125861       1                        0                        0.8609001196581505       1                        0                        0.8612701957991246       1                        0                        0.8616323319145285
