Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,32307
Base Time Seconds,1604344012
Base Time Fractional,.418573020
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,170359.2480129,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999842882156,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:52,.418573020
2,170835.3645238,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999851077795,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:52,.487904840
3,172023.379507,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999856740236,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:52,.557225980
4,172863.4445295,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999843105674,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:52,.626539080
5,174355.5498793,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999853983521,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:52,.695853000
6,175544.5462503,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999840050936,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:52,.765181880
7,176189.7570896,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999854579568,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:52,.834486700
8,177570.8725618,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999850109220,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:52,.903809680
9,178305.9462884,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999855324626,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:52,.973132020
10,179236.2863155,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999856889248,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:53,.042438580
11,180649.9282829,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999849811196,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:53,.111747960
12,181295.0525249,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999856889248,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:53,.181058000
13,181912.536235,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999858155847,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:53,.250371720
14,183156.9780366,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999859943986,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:53,.319687100
15,184270.5302484,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999862775207,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:53,.389018740
16,184805.8473122,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999862700701,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:53,.458322500
17,186569.1517596,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999853089452,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:53,.527625280
18,187319.9964039,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999865382910,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:53,.596934980
19,187929.7870424,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999853983521,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:53,.666269040
20,189562.0588358,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999861508608,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:53,.735582420
21,190159.5723547,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999860391021,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:53,.804902000
22,191220.0426537,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999865680933,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:53,.874219840
23,192102.1713653,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999853163958,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:53,.943555240
24,192578.7685508,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999853312969,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:54,.012878560
25,194039.5546804,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999864265323,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:54,.082196240
26,195109.7914843,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999848917127,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:54,.151503480
27,195729.3222936,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999864190817,Volt DC,.1,T,2W,F,F,11/02/2020,19:06:54,.220819880
