Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,8113
Base Time Seconds,1604346720
Base Time Fractional,.397692940
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,83887.04655051,Ohm,100000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999959260225,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:00,.397692940
2,97482.604597,Ohm,100000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999970659614,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:00,.467067520
3,143040.6589084,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999977141619,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:00,.776327880
4,151121.5255516,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999958291650,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:00,.845681780
5,160767.5841916,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999911800027,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:00,.915019320
6,173532.3223057,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999852344394,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:00,.984330960
7,179471.0634636,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999871566892,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:01,.053638440
8,190012.6548538,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999858006835,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:01,.122947980
9,191102.4295548,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999877378345,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:01,.192249200
10,201197.0404772,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999848023057,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:01,.261575000
11,203199.9051084,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999888777733,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:01,.330892320
12,205151.6736505,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999890193343,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:01,.400203000
13,210390.9312427,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999900251627,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:01,.469521540
14,217450.3738077,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999883338809,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:01,.538837080
15,226438.1635431,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999899655581,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:01,.608170620
16,232626.0544938,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999891832471,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:01,.677471740
17,236059.5550466,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999901443720,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:01,.746797500
18,245734.9197531,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999877229333,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:01,.816140820
19,247526.0097959,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999893620610,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:01,.885469840
20,252557.5183974,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999900847673,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:01,.954786680
21,260336.1028529,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999891161919,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:02,.024119460
22,263865.3093331,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999907255173,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:02,.093429100
23,272606.5326778,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999898239970,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:02,.162747240
24,275229.2215938,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999911800027,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:02,.232068740
25,280867.5997623,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999907776713,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:02,.301381740
26,287303.5890244,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999906435609,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:02,.370679600
27,287309.1521306,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999914854765,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:02,.439984240
28,294278.6949558,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999902412295,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:02,.509311260
29,299536.0753661,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999900847673,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:02,.578621260
30,300634.9221637,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999895930290,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:02,.647968640
31,304281.3415813,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999884083867,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:02,.717297140
32,304934.5989992,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999898090959,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:02,.786609100
33,310800.5842374,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999890044332,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:02,.855922580
34,309206.1741064,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999906510115,Volt DC,.1,T,2W,F,F,11/02/2020,19:52:02,.925242680
