Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,12811
Base Time Seconds,1604348249
Base Time Fractional,.889336280
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,8625.486086041,Ohm,10000,5.5,F,F,F,F,F,F,Front,F,Main,0.1000024750829,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:29,.889336280
2,36766.79962932,Ohm,100000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999971553683,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:30,.198651620
3,45032.07660812,Ohm,100000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999968871474,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:30,.268006500
4,53889.23532279,Ohm,100000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999973416328,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:30,.337322840
5,63357.12893712,Ohm,100000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999961271882,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:30,.406629580
6,73245.78056986,Ohm,100000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999962538481,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:30,.475946680
7,83462.78064036,Ohm,100000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999958366156,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:30,.545254240
8,93935.3768357,Ohm,100000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999963656068,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:30,.614565740
9,141098.6369762,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999871939421,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:30,.923829920
10,151247.3471443,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999876335263,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:30,.993177980
11,161255.2732819,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999879091978,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:31,.062505880
12,171026.1541713,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999880731106,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:31,.131838040
13,180469.1052217,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999884083867,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:31,.201142820
14,189629.0251761,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999885424972,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:31,.270483180
15,198570.4782835,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999888405204,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:31,.339792900
16,207145.9122161,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999881401658,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:31,.409106560
17,215628.7261988,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999895632267,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:31,.478431420
18,223922.5119041,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999891459942,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:31,.547742580
19,231984.4327431,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999897122383,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:31,.617044680
20,239894.6501738,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999896973372,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:31,.686371740
21,247751.3617326,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999903753400,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:31,.755681800
22,255284.5687415,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999895706773,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:31,.824993820
23,262647.575171,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999898388982,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:31,.894325700
24,269672.0299377,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999897196889,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:31,.963645220
25,276533.5258775,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999901220202,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:32,.032952700
26,283084.4282068,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999902859330,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:32,.102291300
27,289665.0232651,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999898612499,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:32,.171602940
28,295958.8488473,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999902933836,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:32,.240910900
29,302033.2331084,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999906137586,Volt DC,.1,T,2W,F,F,11/02/2020,20:17:32,.310217300
