Style,Standard
Append Mode,1
Fill Mode,0
Capacity,100000
Count,18713
Base Time Seconds,1604350604
Base Time Fractional,.995947600
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,35528.89871152,Ohm,100000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999975726008,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:44,.995947600
2,44960.0142992,Ohm,100000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999967306852,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:45,.065315700
3,55418.34169469,Ohm,100000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999963879585,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:45,.134624800
4,67017.342479,Ohm,100000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999962612987,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:45,.203951220
5,79646.67885449,Ohm,100000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999962985516,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:45,.273250660
6,93673.92037058,Ohm,100000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999960228801,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:45,.342557800
7,168304.217442,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999899208546,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:45,.651845860
8,187125.2927587,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999907553196,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:45,.721216240
9,206594.8170069,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999905169010,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:45,.790532920
10,226691.1644531,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999909564853,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:45,.859850060
11,246959.287681,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999908447266,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:45,.929187860
12,267541.0714472,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999908819795,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:45,.998502120
13,288144.7696018,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999919995666,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:46,.067811560
14,308488.6605732,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999917313457,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:46,.137138740
15,329004.579952,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999923869967,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:46,.206465600
16,349266.120852,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999918356538,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:46,.275777980
17,369526.4851775,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999920070171,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:46,.345100500
18,388931.6074594,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999915078282,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:46,.414418860
19,408626.672099,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999920517206,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:46,.483731760
20,428005.1298074,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999927297235,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:46,.553042980
21,446617.0976836,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999925807118,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:46,.622374360
22,465053.4780705,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999920293689,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:46,.691697100
23,482368.7002274,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999931693077,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:46,.761004440
24,500065.8036185,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999927595258,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:46,.830336000
25,516744.9068718,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999923571944,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:46,.899643300
26,533992.9742049,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999930426478,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:46,.968947540
27,549979.1091114,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999931916595,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:47,.038254080
28,565505.0838856,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999924615026,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:47,.107590340
29,581832.4646909,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999926328659,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:47,.176900980
30,596834.8221154,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999929308891,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:47,.246226140
31,612265.9959551,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999931916595,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:47,.315541360
32,626647.5892621,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999926552176,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:47,.384852300
33,642077.0752057,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999933406711,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:47,.454171280
34,656401.6896044,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999932065606,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:47,.523500660
35,671547.0178568,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999932363629,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:47,.592821100
36,685548.2730063,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999943241477,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:47,.662127160
37,699876.3459403,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999936461449,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:47,.731442020
38,713629.3174059,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999937355518,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:47,.800756500
39,726623.8450654,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999941676855,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:47,.870072600
40,740576.0140108,Ohm,1000000,5.5,F,F,F,F,F,F,Front,F,Main,0.0999932065606,Volt DC,.1,T,2W,F,F,11/02/2020,20:56:47,.939384740
