<Trace>
151
0ct_06_2334 D1 540:550-700(3)
X	Y
550	22109.5957
551	24314.3711
552	26591.9121
553	29866.3418
554	32507.6328
555	35838.47
556	39055.05
557	41987.45
558	45616.3672
559	48547.92
560	51409.0352
561	54330.4375
562	56701.26
563	59533.8047
564	61600.9023
565	62911.0859
566	65016.2461
567	65897.74
568	66505.27
569	66910.31
570	66672.52
571	66710.81
572	66039.8
573	65022.293
574	63517.4023
575	62366.2461
576	60905.1
577	59060.6445
578	57481.2773
579	55364.83
580	53116.0859
581	50865.9063
582	49464.9844
583	47340.4
584	45433.43
585	43075.668
586	40816.9844
587	39025.9258
588	37161.918
589	35414.77
590	33569.59
591	32046.9551
592	30336.94
593	28818.873
594	27501.69
595	26295.0273
596	24584.1152
597	23824.04
598	22356.2148
599	21261.5215
600	20320.3125
601	19598.6855
602	18585.502
603	18080.457
604	17207.7188
605	16560.4863
606	16052.5508
607	15421.4287
608	15016.7334
609	14285.5244
610	13910.9277
611	13384.1162
612	13146.7607
613	12716.1318
614	12222.4365
615	12213.4238
616	11681.707
617	11310.2246
618	11045.8906
619	10695.4609
620	10335.0322
621	10020.6709
622	9757.377
623	9444.037
624	9325.912
625	9081.658
626	8822.396
627	8628.205
628	8120.72461
629	7759.401
630	7670.323
631	7267.984
632	7103.85059
633	6785.601
634	6341.27148
635	6082.08936
636	5966.01074
637	5517.71973
638	5434.66846
639	5275.57227
640	4880.345
641	4591.191
642	4615.203
643	4339.06348
644	4124.96143
645	3862.843
646	3852.83862
647	3635.74683
648	3424.6626
649	3247.596
650	3189.57471
651	3014.51343
652	2873.46655
653	2749.427
654	2694.41016
655	2508.35547
656	2471.345
657	2308.301
658	2239.2832
659	2135.25757
660	2082.24487
661	1992.22424
662	1924.20923
663	1913.20679
664	1799.18286
665	1698.163
666	1601.1449
667	1626.14941
668	1651.154
669	1534.13293
670	1516.12988
671	1441.11731
672	1387.10876
673	1397.11023
674	1343.10193
675	1308.09668
676	1323.09888
677	1224.08459
678	1230.08545
679	1167.0769
680	1142.07373
681	1123.07129
682	1112.06982
683	1100.06836
684	1043.06152
685	1064.064
686	1019.05865
687	982.0545
688	1008.05743
689	997.056152
690	954.051453
691	939.0498
692	835.039368
693	937.0496
694	807.0368
695	893.045044
696	907.0465
697	813.037354
698	855.0413
699	899.045654
700	817.0377
</Trace>
