<Trace>
151
D1 540:550-700(4)
X	Y
550	2358.31421
551	2063.24048
552	1983.22217
553	1788.18066
554	1729.169
555	1670.15759
556	1505.12793
557	1402.11108
558	1340.10144
559	1187.07959
560	1126.07166
561	1019.05865
562	953.051331
563	910.0468
564	938.049744
565	832.0391
566	863.042053
567	755.0322
568	752.032
569	725.0297
570	679.026062
571	704.028
572	739.0309
573	707.028259
574	649.0238
575	715.0289
576	722.0295
577	668.0252
578	652.024048
579	624.022
580	649.0238
581	675.025757
582	660.0246
583	652.024048
584	609.020935
585	649.0238
586	652.024048
587	613.02124
588	655.024231
589	603.020569
590	630.0224
591	659.024536
592	759.032532
593	804.0365
594	740.030945
595	720.0293
596	691.027
597	654.0242
598	646.02356
599	654.0242
600	610.021
601	610.021
602	614.0213
603	639.0231
604	622.021851
605	605.0207
606	594.019958
607	617.0215
608	695.0273
609	598.0202
610	585.019348
611	616.0214
612	671.025452
613	616.0214
614	571.018433
615	616.0214
616	621.0218
617	583.0192
618	574.0186
619	566.0181
620	574.0186
621	584.0193
622	556.017456
623	576.018738
624	554.017334
625	591.0197
626	571.018433
627	530.015869
628	592.0198
629	581.019043
630	603.020569
631	565.018066
632	531.0159
633	542.0166
634	589.0196
635	600.0203
636	546.016846
637	570.0184
638	511.01474
639	514.014954
640	574.0186
641	553.0173
642	583.0192
643	577.0188
644	562.0178
645	562.0178
646	561.017761
647	602.020447
648	596.0201
649	567.0182
650	535.0162
651	569.0183
652	543.016663
653	528.015747
654	521.0153
655	552.0172
656	549.017
657	519.0152
658	525.015564
659	541.016541
660	571.018433
661	548.016968
662	540.0165
663	541.016541
664	551.017151
665	551.017151
666	547.0169
667	541.016541
668	540.0165
669	555.0174
670	573.018555
671	569.0183
672	555.0174
673	568.01825
674	553.0173
675	577.0188
676	513.0149
677	571.018433
678	522.0154
679	509.014648
680	530.015869
681	506.014465
682	551.017151
683	540.0165
684	519.0152
685	530.015869
686	514.014954
687	610.021
688	555.0174
689	517.0151
690	530.015869
691	584.0193
692	572.0185
693	530.015869
694	571.018433
695	582.019165
696	552.0172
697	508.0146
698	575.0187
699	550.0171
700	539.0164
</Trace>
