<Trace>
151
10.07 0056_D1 540:550-700(5)
X	Y
550	19018.4219
551	20915.6973
552	23234.4746
553	25434.5156
554	28008.2754
555	30314.8633
556	33248.38
557	35917.793
558	38721.59
559	41315.293
560	44011.2578
561	46662.81
562	48490.61
563	50948.38
564	52367.64
565	53950.1172
566	54725.8633
567	55962.5742
568	56768.69
569	58076.15
570	57122.9648
571	57442.0234
572	56812.9766
573	56538.2227
574	54758.0625
575	53975.27
576	52710.668
577	51394.9531
578	49749.58
579	47838.0664
580	46219.49
581	44589.1445
582	42605.3945
583	40827.03
584	39114.3125
585	37031.37
586	35404.7266
587	33931.97
588	32327.9766
589	30697.18
590	28859.0039
591	27860.81
592	26224.8184
593	24769.6328
594	23662.6074
595	22480.53
596	21180.3262
597	20103.8184
598	19251.9258
599	18193.69
600	17149.6055
601	16398.1836
602	15785.0693
603	15447.4746
604	14239.45
605	13809.77
606	13457.2266
607	12833.3008
608	12424.7178
609	12227.4434
610	11754.8037
611	11371.3027
612	10913.7266
613	10754.5322
614	10550.2861
615	9967.611
616	9839.468
617	9703.317
618	9294.88
619	9070.647
620	8772.347
621	8676.252
622	8294.887
623	7890.5166
624	7915.539
625	7620.28
626	7484.164
627	7208.93555
628	6851.652
629	6748.57275
630	6399.313
631	6217.18359
632	6066.07861
633	5633.793
634	5460.68457
635	5330.605
636	4997.41064
637	4778.28955
638	4611.201
639	4499.14355
640	4209.001
641	3951.88232
642	3893.85645
643	3867.84521
644	3569.72
645	3331.627
646	3328.626
647	3224.5874
648	2915.48022
649	2801.44336
650	2742.4248
651	2589.379
652	2555.369
653	2449.33887
654	2324.30518
655	2223.2793
656	2094.2478
657	2068.2417
658	1944.2135
659	1875.19861
660	1802.18347
661	1768.17664
662	1660.15576
663	1551.136
664	1582.14148
665	1607.14587
666	1572.13965
667	1514.12952
668	1378.1073
669	1367.10559
670	1332.10022
671	1317.098
672	1244.0874
673	1234.086
674	1201.08154
675	1139.07336
676	1098.06812
677	1106.06909
678	1113.07
679	1064.064
680	1045.06165
681	978.054
682	1026.05945
683	980.05426
684	984.0547
685	955.0515
686	1022.059
687	899.045654
688	881.0439
689	923.048157
690	828.038757
691	845.040344
692	858.0416
693	880.043762
694	809.037
695	782.034546
696	808.036865
697	816.0376
698	795.0357
699	797.0359
700	817.0377
</Trace>
