<Trace>
151
10.07_0121_D1 540:550-700(5)
X	Y
550	2897.47437
551	2527.36084
552	2437.33569
553	2241.28369
554	2092.24731
555	2136.25781
556	1912.20654
557	1884.20056
558	1616.14758
559	1596.14392
560	1470.12207
561	1351.10315
562	1300.09546
563	1213.08313
564	1204.08191
565	1082.06616
566	1066.06421
567	1069.06458
568	1046.06177
569	1039.061
570	1122.07117
571	965.0526
572	1057.06311
573	988.0552
574	996.056
575	996.056
576	983.0546
577	862.042
578	916.0474
579	873.0431
580	873.0431
581	891.044861
582	835.039368
583	856.0414
584	834.0393
585	842.040039
586	843.040161
587	810.037048
588	805.0366
589	762.032837
590	800.036133
591	751.03186
592	898.0456
593	954.051453
594	917.0475
595	833.0392
596	819.0379
597	806.0367
598	711.028564
599	702.027832
600	703.027954
601	702.027832
602	683.026367
603	655.024231
604	703.027954
605	702.027832
606	668.0252
607	680.0261
608	631.0225
609	664.0249
610	628.0223
611	714.0288
612	661.024658
613	709.0284
614	635.022766
615	614.0213
616	648.023743
617	629.022339
618	620.0217
619	633.022644
620	609.020935
621	590.019653
622	635.022766
623	621.0218
624	622.021851
625	625.0221
626	623.0219
627	585.019348
628	645.0235
629	604.0206
630	601.0204
631	538.016357
632	581.019043
633	609.020935
634	565.018066
635	596.0201
636	583.0192
637	575.0187
638	606.020752
639	584.0193
640	525.015564
641	592.0198
642	533.016052
643	639.0231
644	584.0193
645	593.0199
646	588.019531
647	594.019958
648	617.0215
649	524.0155
650	585.019348
651	570.0184
652	571.018433
653	566.0181
654	563.0179
655	558.0176
656	585.019348
657	520.015259
658	560.0177
659	525.015564
660	596.0201
661	570.0184
662	489.013519
663	579.0189
664	587.0195
665	508.0146
666	499.014069
667	571.018433
668	517.0151
669	563.0179
670	571.018433
671	575.0187
672	582.019165
673	555.0174
674	560.0177
675	567.0182
676	600.0203
677	545.0168
678	588.019531
679	535.0162
680	528.015747
681	541.016541
682	519.0152
683	585.019348
684	500.01413
685	551.017151
686	544.0167
687	532.016
688	542.0166
689	534.0161
690	553.0173
691	586.0194
692	549.017
693	577.0188
694	566.0181
695	534.0161
696	602.020447
697	539.0164
698	547.0169
699	540.0165
700	559.017639
</Trace>
