<Trace>
151
10.07_0158_D1 540:550-700(5)
X	Y
550	5306.591
551	4692.24365
552	4138.968
553	3921.869
554	3619.74023
555	3487.68726
556	3236.5918
557	2952.49243
558	2614.38623
559	2244.28467
560	2006.22742
561	1772.17749
562	1663.15625
563	1434.11621
564	1281.09277
565	1282.0929
566	1199.08118
567	1145.0741
568	1082.06616
569	1000.05652
570	983.0546
571	961.0522
572	879.04364
573	904.0462
574	899.045654
575	858.0416
576	841.04
577	828.038757
578	764.032959
579	772.0337
580	767.033264
581	813.037354
582	818.0378
583	778.0342
584	714.0288
585	752.032
586	706.028137
587	723.029541
588	699.0276
589	726.0298
590	720.0293
591	783.034668
592	811.0372
593	815.037537
594	856.0414
595	791.035339
596	800.036133
597	748.0316
598	724.0296
599	702.027832
600	736.0306
601	690.0269
602	742.0311
603	702.027832
604	680.0261
605	634.0227
606	668.0252
607	632.0226
608	669.025269
609	608.0209
610	709.0284
611	701.0278
612	693.027161
613	740.030945
614	629.022339
615	649.0238
616	640.023132
617	618.0216
618	631.0225
619	612.0212
620	589.0196
621	593.0199
622	584.0193
623	605.0207
624	641.0232
625	583.0192
626	626.022156
627	597.020142
628	608.0209
629	608.0209
630	598.0202
631	583.0192
632	579.0189
633	596.0201
634	592.0198
635	570.0184
636	579.0189
637	593.0199
638	552.0172
639	639.0231
640	593.0199
641	559.017639
642	608.0209
643	646.02356
644	582.019165
645	654.0242
646	593.0199
647	594.019958
648	592.0198
649	587.0195
650	576.018738
651	544.0167
652	565.018066
653	586.0194
654	564.017944
655	551.017151
656	576.018738
657	584.0193
658	547.0169
659	606.020752
660	578.01886
661	588.019531
662	562.0178
663	594.019958
664	569.0183
665	579.0189
666	587.0195
667	569.0183
668	546.016846
669	588.019531
670	580.019
671	556.017456
672	554.017334
673	564.017944
674	619.021667
675	603.020569
676	529.0158
677	580.019
678	575.0187
679	597.020142
680	553.0173
681	532.016
682	554.017334
683	569.0183
684	540.0165
685	558.0176
686	557.0175
687	564.017944
688	565.018066
689	550.0171
690	566.0181
691	542.0166
692	597.020142
693	591.0197
694	579.0189
695	564.017944
696	564.017944
697	559.017639
698	624.022
699	572.0185
700	590.019653
</Trace>
