<Trace>
151
10.07_0233_D1 540:550-700
X	Y
550	5064.44873
551	4422.10449
552	3833.83032
553	3678.7644
554	3504.69385
555	3278.60718
556	3031.51929
557	2768.43286
558	2417.33
559	2153.262
560	1945.21375
561	1766.17627
562	1559.13733
563	1371.1062
564	1278.09229
565	1203.08179
566	1065.06409
567	1006.05719
568	1003.05682
569	952.0512
570	896.045349
571	872.042969
572	882.043945
573	832.0391
574	838.0397
575	847.0405
576	794.035645
577	799.0361
578	790.0353
579	733.030334
580	749.0317
581	764.032959
582	751.03186
583	779.0343
584	684.0264
585	722.0295
586	707.028259
587	682.0263
588	700.0277
589	693.027161
590	716.029
591	780.034363
592	847.0405
593	808.036865
594	817.0377
595	840.039856
596	775.033936
597	732.0303
598	727.029846
599	688.026733
600	679.026062
601	698.0275
602	696.027344
603	659.024536
604	631.0225
605	654.0242
606	675.025757
607	635.022766
608	649.0238
609	621.0218
610	677.0259
611	673.0256
612	675.025757
613	666.0251
614	670.0254
615	638.023
616	643.0234
617	615.021362
618	569.0183
619	591.0197
620	631.0225
621	618.0216
622	623.0219
623	632.0226
624	617.0215
625	603.020569
626	618.0216
627	578.01886
628	581.019043
629	602.020447
630	578.01886
631	566.0181
632	603.020569
633	629.022339
634	545.0168
635	591.0197
636	599.020264
637	556.017456
638	549.017
639	617.0215
640	606.020752
641	598.0202
642	550.0171
643	617.0215
644	624.022
645	628.0223
646	631.0225
647	594.019958
648	654.0242
649	563.0179
650	560.0177
651	582.019165
652	622.021851
653	622.021851
654	601.0204
655	543.016663
656	616.0214
657	587.0195
658	562.0178
659	556.017456
660	583.0192
661	574.0186
662	578.01886
663	573.018555
664	604.0206
665	569.0183
666	572.0185
667	567.0182
668	594.019958
669	589.0196
670	576.018738
671	598.0202
672	587.0195
673	568.01825
674	573.018555
675	592.0198
676	534.0161
677	575.0187
678	552.0172
679	578.01886
680	546.016846
681	550.0171
682	558.0176
683	553.0173
684	570.0184
685	553.0173
686	579.0189
687	534.0161
688	528.015747
689	552.0172
690	583.0192
691	559.017639
692	516.015
693	581.019043
694	555.0174
695	574.0186
696	592.0198
697	600.0203
698	594.019958
699	551.017151
700	555.0174
</Trace>
