date	label	vpp	rpm	cycles	id	vol_per_droplet	droplet_diameter	rel_error
oct15	0258	2.0	500.0	12000.0	1st	1.9620029841057693	15.532225261429566	0.5417367679318241
oct14	1428	1.25	300.0	2200.0	1st	77.7165617448345	52.9466294999823	0.0728748367610595
oct14	1832	1.75	300.0	2200.0	1st	111.02161599884624	59.63066336830468	0.07271822761038846
oct14	1857	1.75	300.0	1000.0	1st	93.88239866384325	56.3891028399405	0.14220437386489337
oct14	1919	1.75	300.0	400.0	1st	118.44712941752128	60.93151444088534	0.3271849666643976
oct14	2021	1.75	300.0	1600.0	1st	123.27531733659491	61.74841802973203	0.06920747603008674
oct14	2045	1.75	300.0	1600.0	1st	89.52742260817332	55.50334446251695	0.08556867869257476
oct15	0100	2.0	300.0	2000.0	1st	301.2345944461522	83.17039060738836	0.029313747781320072
oct15	0120	2.0	350.0	2000.0	1st	29.323024387338506	38.25927297793849	0.22653654145526375
oct15	0142	2.0	400.0	2000.0	1st	11.259243907927445	27.80802861511557	0.6627671215662179
oct15	0204	2.0	450.0	6000.0	1st	6.404500916347356	23.04069402321762	0.42998635914600586
oct15	0258	2.0	500.0	12000.0	1st	1.9620029841057693	15.532225261429566	0.5417367679318241
