date	label	vpp	rpm	cycles	id	vol_per_droplet	droplet_diameter	rel_error
oct20	2215	2.0	550.0	54000.0	1st	0.8033648088820633	11.533772844063103	0.36501770930139965
oct19	1946	2.0	350.0	2000.0	1st	21.166983149521435	34.32048743401826	0.27630704048154536
oct19	1957	2.0	300.0	2000.0	1st	84.37904537936645	54.418344851315396	0.09396894271957175
oct19	2010	2.0	400.0	4000.0	1st	6.535914453318751	23.19721845024668	0.3589157163631637
oct19	2347	2.0	450.0	8000.0	1st	4.641644791344561	20.696222911107423	0.20755673280556838
oct20	1422	2.0	400.0	4000.0	1st	12.234246860485493	28.58859895475833	0.2545120569879849
oct20	1529	2.0	450.0	8000.0	1st	5.602370693488587	22.03557595659951	0.31386455443066835
oct20	1715	2.0	500.0	12000.0	1st	0.709514452709725	11.065920386384587	1.424275514099804
oct20	1800	2.0	500.0	12000.0	1st	0.9370025965825074	12.140802399118199	1.1041850007470697
oct20	2010	2.0	550.0	60000.0	1st	0.4533877734629832	9.531408008239834	0.44920731558786137
oct20	2215	2.0	550.0	54000.0	1st	0.8033648088820633	11.533772844063103	0.36501770930139965
