<Group>	
Detector1	
6	
76	
baseline_enhanced signal_tested right after mixing_oct28	T637395157849820204
X	Y
550	1140190.38
552	149375.625
554	92487.62
556	72608.0547
558	57394.72
560	43630.38
562	32375.1484
564	24105.8027
566	18255.8164
568	14396.7041
570	12202.4092
572	10497.2236
574	9327.914
576	8438.021
578	7655.31
580	7003.771
582	6517.39941
584	6221.186
586	6021.048
588	5837.92529
590	5713.844
592	5495.706
594	5394.644
596	4801.30225
598	4285.037
600	3905.86182
602	3899.85913
604	3742.79126
606	3408.65649
608	3407.656
610	3223.58716
612	3251.59741
614	3026.51758
616	2892.47266
618	2825.451
620	2725.41968
622	2618.38721
624	2588.37842
626	2478.347
628	2505.35449
630	2439.33618
632	2466.34375
634	2484.34863
636	2603.38281
638	2791.44019
640	2917.481
642	3038.52148
644	3076.53467
646	3071.533
648	2800.443
650	2869.465
652	2550.36743
654	2428.33325
656	2374.3186
658	2319.304
660	2241.28369
662	2273.292
664	2188.27051
666	2187.27026
668	2094.2478
670	1998.22559
672	1902.20447
674	1830.18921
676	1835.19031
678	1736.17029
680	1760.175
682	1692.16174
684	1674.15833
686	1658.1554
688	1691.16162
690	1681.15967
692	1627.14954
694	1597.14417
696	1613.147
698	1630.15015
700	1533.13281
</Group>	
