<Group>	
Detector1	
8	
76	
oct29_0044_2vpp_750rpm_120000cyc_1st_100hz_enhanced signal	T637395157849822434
X	Y
550	1841340
552	325795.125
554	241150.016
556	194117.531
558	156115.969
560	122033.555
562	94672.6
564	73630.46
566	59455.2773
568	49350.3477
570	42798.3242
572	38316.832
574	34912.7773
576	31482.9355
578	29052.6367
580	27021.21
582	24241.1719
584	23111.1523
586	21296.6055
588	20028.6484
590	18699.7422
592	17582.4551
594	16463.3047
596	15126.9209
598	13861.8506
600	12867.3506
602	12007.1416
604	11242.1377
606	10513.2422
608	9948.59
610	9791.415
612	9153.732
614	8708.283
616	8314.905
618	7809.445
620	7499.177
622	7222.947
624	7022.78564
626	6752.57568
628	6347.276
630	6323.2583
632	6127.12061
634	6052.069
636	5933.98926
638	6205.175
640	6072.08252
642	6304.245
644	5982.02148
646	5971.014
648	5634.79346
650	5349.6167
652	5182.517
654	5013.42
656	4956.3877
658	4781.2915
660	4736.267
662	4630.211
664	4511.14941
666	4358.07275
668	4161.97852
670	4051.92749
672	3959.88574
674	3860.842
676	3818.82373
678	3696.772
680	3574.722
682	3623.742
684	3548.71143
686	3414.65869
688	3521.70068
690	3638.748
692	3480.68433
694	3344.632
696	3327.62549
698	3266.60278
700	3217.585
</Group>	
