Droplet_volume[uL]	Linear_speed_upper_bound[mm/s]	Linear_speed_upper_bound_error[mm/s]	Linear_speed_lower_bound[mm/s]	Linear_speed_lower_bound_error[mm/s]
5	10876.8762666667	685.776187863222	572.897186666667	48.9936115860903
12	13063.7397333333	347.945922437688	497.623885555556	10.556316788346
16	14263.8477333333	287.768933673205	440.802794444444	16.2099373936677
20	14879.2877333333	266.588073600102	386.910625555556	8.16428860540446
40	15145.9784	266.564392669689	274.732904444444	10.556316788346
80	16514.3066666667	389.692279549767	211.175292222222	13.1606093665708
160	19546.3744	414.13213232262	217.618921111111	11.9297414690216
240	18217.024	246.176	218.497597777778	60.7325989204342
320	6464.17146666667	272.490070813697	171.34195	28.7288304631082
400	6014.90026666667	194.748919241708	273.268443333333	97.6201472306413
