Shear Rate	Viscosity	Viscosity	Viscosity	Viscosity	Viscosity	Viscosity
[1/s]	[mPa·s]	[mPa·s]	[mPa·s]	[mPa·s]	[mPa·s]	[mPa·s]
shear_rate	SDN	Detergent	PEG 	PVA 	DNA 	PEG-DNA 
1	832.9	599.23	219.81	307.88	3733.3	4078.7
1.26	823.94	599.91	203.65	305.41	3290.9	3721.3
1.58	818.58	602.96	194.57	304.81	2883.5	3366.6
2	809.86	605.91	201.61	302.97	2508.8	3019.6
2.51	805.54	606.61	193.06	302.92	2162.2	2692.4
3.16	804.88	604.17	195.14	305.27	1845	2387.3
3.98	805.61	607.58	200.75	306.75	1561.7	2108.7
5.01	803.31	615.78	202.81	307.08	1311.3	1856.6
6.31	800.01	618.48	197.56	305.47	1095.2	1628.6
7.94	802.88	611.51	202.57	305.13	911.49	1430.5
10	798.36	611.79	201.89	304.96	759.06	1256.5
12.6	793.51	609.45	200.5	302.47	638.69	1103.7
15.8	795.49	608.94	201.9	304.12	542.01	975.93
20	793.3	610.97	202.26	302.2	457.52	862.59
25.1	793.88	605.32	197.15	303.88	381.88	768.76
31.6	791.31	596.74	192.58	303.09	315.22	687.62
39.8	787.45	592.28	189.58	302.57	257.71	618.22
50.1	783.67	579.57	189.47	302.97	209.21	560.44
63.1	779.27	563.2	186.88	302.93	169	511.52
79.4	772.5	541.75	185.76	302.51	135.99	469.69
100	762.41	515.09	185.84	301.63	109.2	434.06
126	749.49	483.18	184.75	301.05	87.652	404.06
158	732.12	446.87	184.25	300.29	70.222	377.9
200	710.19	406.93	183.33	298.87	56.333	355.41
251	684.19	364.63	183.11	297.19	45.236	335.68
316	651.19	321.36	182.55	295.25	36.434	318.45
398	609.31	278.81	182.17	292.9	29.705	303.47
501	558.81	238.24	181.72	291.82	24.402	291.82
631	501.45	200.72	181.24	291.29	20.183	281.66
794	440.2	166.91	180.91	290.7	16.836	272.66
1000	377.95	137.26	180.35	289.93	14.134	264.72
1260	317.94	111.88	179.84	288.8	11.957	257.63
1580	262.58	90.585	179.31	287.31	10.226	251.2
2000	213.55	73.134	178.83	285.38	8.7901	245.31
2510	172.04	59.001	178.44	282.94	7.599	239.86
3160	138.36	47.632	178.22	279.92	6.6577	235.06
3980	111.14	38.643	178.06	276.36	5.8432	230.27
5010	87.937	31.52	178.06	272.13	5.1768	225.62
6310	67.447	25.927	178.16	266.97	4.629	220.99
7940	52.728	21.564	177.73	260.38	4.1452	216.21
10000	42.463	18.241	176.81	252.15	3.7451	211.14
