Shear Rate	Viscosity	Viscosity	Viscosity	Viscosity	Viscosity	Viscosity	Viscosity	Viscosity	Viscosity
[1/s]	[mPa·s]	[mPa·s]	[mPa·s]	[mPa·s]	[mPa·s]	[mPa·s]	[mPa·s]	[mPa·s]	[mPa·s]
shear_rate	PEG25%	PEG30%	PVA25%	PVA30%	DNA 7.6mg/mL	PEG25%_DNA5.3mg/mL	PVA25%_DNA3.5mg/mL	SLN	Detergent
1	219.81	603.85	307.88	1112.7	3733.3	4078.7	2689.9	832.9	599.23
1.26	203.65	602.69	305.41	1085.4	3290.9	3721.3	2474.3	823.94	599.91
1.58	194.57	601.9	304.81	1077	2883.5	3366.6	2264.3	818.58	602.96
2	201.61	599.82	302.97	1070.6	2508.8	3019.6	2069.7	809.86	605.91
2.51	193.06	599.25	302.92	1067.2	2162.2	2692.4	1883.9	805.54	606.61
3.16	195.14	595.02	305.27	1060.1	1845	2387.3	1705.9	804.88	604.17
3.98	200.75	592.12	306.75	1056.1	1561.7	2108.7	1540.5	805.61	607.58
5.01	202.81	589.12	307.08	1050.1	1311.3	1856.6	1386.8	803.31	615.78
6.31	197.56	585.73	305.47	1042.9	1095.2	1628.6	1250.9	800.01	618.48
7.94	202.57	582.65	305.13	1037.2	911.49	1430.5	1126.6	802.88	611.51
10	201.89	580.18	304.96	1030.1	759.06	1256.5	1013.5	798.36	611.79
12.6	200.5	577.24	302.47	1016.9	638.69	1103.7	918.15	793.51	609.45
15.8	201.9	574.99	304.12	1001.3	542.01	975.93	831.54	795.49	608.94
20	202.26	572.37	302.2	987.03	457.52	862.59	759.19	793.3	610.97
25.1	197.15	570.97	303.88	972.61	381.88	768.76	694.51	793.88	605.32
31.6	192.58	569.82	303.09	960.94	315.22	687.62	641.3	791.31	596.74
39.8	189.58	570.83	302.57	952.46	257.71	618.22	594.28	787.45	592.28
50.1	189.47	570.04	302.97	950.02	209.21	560.44	552.75	783.67	579.57
63.1	186.88	566.51	302.93	951.52	169	511.52	517.32	779.27	563.2
79.4	185.76	565.65	302.51	951.47	135.99	469.69	487.02	772.5	541.75
100	185.84	564.97	301.63	954.42	109.2	434.06	461.09	762.41	515.09
126	184.75	561.41	301.05	957.55	87.652	404.06	438.38	749.49	483.18
158	184.25	559.93	300.29	955.87	70.222	377.9	418.3	732.12	446.87
200	183.33	555.63	298.87	951.59	56.333	355.41	400.98	710.19	406.93
251	183.11	552.49	297.19	946.8	45.236	335.68	385.6	684.19	364.63
316	182.55	550.21	295.25	941.69	36.434	318.45	371.89	651.19	321.36
398	182.17	546.32	292.9	933.04	29.705	303.47	360.25	609.31	278.81
501	181.72	543.03	291.82	924.71	24.402	291.82	350.99	558.81	238.24
631	181.24	539.55	291.29	915.52	20.183	281.66	343.04	501.45	200.72
794	180.91	535.51	290.7	904.63	16.836	272.66	335.83	440.2	166.91
1000	180.35	531.98	289.93	890.52	14.134	264.72	329.13	377.95	137.26
1260	179.84	527.56	288.8	876.31	11.957	257.63	322.83	317.94	111.88
1580	179.31	522.9	287.31	857.28	10.226	251.2	316.86	262.58	90.585
2000	178.83	517.97	285.38	832.89	8.7901	245.31	311	213.55	73.134
2510	178.44	512.46	282.94	803.62	7.599	239.86	305.14	172.04	59.001
3160	178.22	505.95	279.92	772.76	6.6577	235.06	299.09	138.36	47.632
3980	178.06	498.39	276.36	734.68	5.8432	230.27	292.62	111.14	38.643
5010	178.06	489.1	272.13	691.95	5.1768	225.62	285.77	87.937	31.52
6310	178.16	477.28	266.97	644.09	4.629	220.99	277.83	67.447	25.927
7940	177.73	462.28	260.38	589.47	4.1452	216.21	268.65	52.728	21.564
10000	176.81	443.87	252.15	532.29	3.7451	211.14	257.78	42.463	18.241
