Point No.	Shear Rate	Shear Stress	Viscosity	Torque	Status	Temperature
[1]	[1/s]	[Pa]	[mPa·s]	[mN·m]		[°C]
1	100	68.81	688.1	1.1508	Dy_auto	20
2	100	67.005	670.05	1.1206	Dy_auto	25.34
3	100	64.525	645.25	1.0791	Dy_auto	30.62
4	100	60.301	603.01	1.0085	Dy_auto	35.92
5	100	53.69	536.9	0.89792	Dy_auto	41.23
6	100	45.339	453.4	0.75827	Dy_auto	46.54
7	100	36.601	366.01	0.61212	Dy_auto	51.86
8	100	28.615	286.15	0.47857	Dy_auto	57.18
9	100	22.01	220.1	0.36809	Dy_auto	62.48
10	100	16.922	169.22	0.28301	Dy_auto	67.81
11	100	13.123	131.23	0.21948	Dy_auto	73.14
12	100	10.331	103.31	0.17278	Dy_auto	78.46
13	100	8.2753	82.753	0.1384	Dy_auto	83.8
14	100	6.7437	67.437	0.11278	Dy_auto	89.1
15	100	5.6607	56.607	0.09467	Dy_auto	94.43
